Mã CK,FRM,FRT,FSO,FT1,FTI,FTM,G36,GAS,GCB,GCF,GDA,GDT,GDW,GEE,GEG,GER,GEX,GGG,GH3,GHC,GIC,GIL,GKM,GLC,GLT,GLW,GMA
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,AASCS,PWC,AFA,VAE,AASCS,AVA,AASC,PWC,AAC,UHY,EY,A&C,AFC,Deloitte,PWC,IAV,Deloitte,NVT,CPA VIETNAM,PWC,PWC,AASCS,IAV,IAV,,Grant Thornton,AASC
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Từ chối - Không thể đưa ra ý kiến,Từ chối - Không thể đưa ra ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Từ chối - Không thể đưa ra ý kiến,,Chấp nhận toàn phần,Chấp nhận toàn phần
Ngày công bố báo cáo,18-03-2025,08-03-2025,04-03-2025,12-03-2025,24-03-2025,03-04-2025,01-04-2025,03-03-2025,18-04-2025,20-03-2025,02-04-2025,31-03-2025,02-04-2025,04-03-2025,31-03-2025,28-02-2025,03-03-2025,28-03-2025,25-03-2025,02-04-2025,25-02-2025,26-03-2025,11-04-2025,03-04-2025,05-05-2025,31-03-2025,02-04-2025
Ngày ký kiểm toán,12-03-2025,03-03-2025,03-03-2025,03-03-2025,20-03-2025,27-03-2025,28-03-2025,20-02-2025,14-04-2025,14-03-2025,26-03-2025,29-03-2025,31-03-2025,26-02-2025,26-03-2025,20-02-2025,28-02-2025,28-03-2025,15-03-2025,26-03-2025,18-02-2025,24-03-2025,09-04-2025,28-03-2025,,18-03-2025,28-03-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn lũy kế 229,-3249041097,-59360258169,,-2250965540,-225210831,-6105816264,-649570000,-286560340134,,-5530298729,-18227012041,-5732729086,-11151729278,-77676277291,-17960757185,-399392840,-226154388659,,-438263717,-4456741873,-1124612459,-7063008638,,-16840322074,-318205942,-1130859728,-11664139281
III. Bất động sản đầu tư230,,,18181485889,,,,223824905505,30370446725,21012500000,,,206337990980,,122911711526,,,2516202371393,,26527517997,,,,37729297440,,,,
- Nguyên giá231,,,34606805209,,,,256143361901,38867115741,21012500000,,,218626000000,,217388052952,,,13989083012792,,50715389861,,,,53794294087,,,,
- Giá trị hao mòn lũy kế232,,,-16425319320,,,,-32318456396,-8496669016,,,,-12288009020,,-94476341426,,,-11472880641399,,-24187871864,,,,-16064996647,,,,
IV. Tài sản dở dang dài hạn240,28567162707,8230000000,265842539,,3447180436,64048708230,421853555671,1717948385041,,53190728924,65722024716,,5906579467,173153820472,268369957402,,7928773368011,,46658452613,318181819,,37330657334,,,,427303192,1671484506
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",28294435434,,,,,,,,,,25621793759,,,,,,,,,,,,,,,,
2. Chi phí xây dựng cơ bản dở dang242,272727273,8230000000,265842539,,3447180436,64048708230,421853555671,1717948385041,,53190728924,40100230957,,5906579467,173153820472,268369957402,,7928773368011,,46658452613,318181819,,37330657334,,,,427303192,1671484506
V. Đầu tư tài chính dài hạn250,198311259,,,,79000000000,,8145204879,399715358524,1774361893,11280238308,110000000000,,,2661917601247,173517461623,,2989757831904,,,420000000000,67593742351,44864281764,256750000000,,100000000,,74336958424
1. Đầu tư vào công ty con251,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh252",,,,,87808971017,,8145204879,389715358524,,10177738308,,,,1547320050847,173517461623,,2855791356282,,,420000000000,,21864281764,60000000000,,,,27223038424
3. Đầu tư góp vốn vào đơn vị khác253,200000000,,,958800000,1000000000,,,35000000000,5479064524,,,,,1114597550400,,,133427689404,,,,70000000000,23000000000,196750000000,,,,47113920000
4. Dự phòng đầu tư tài chính dài hạn254,-1688741,,,-958800000,-9808971017,,,-25000000000,-3704702631,,,,,,,,-1213513782,,,,-2406257649,,,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn255,,,,,,,,,,1102500000,110000000000,,,,,,1752300000,,,,,,,,100000000,,
6. Đầu tư dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác260,2074518412,169373442894,557192248,2342900819,62035238,2261930367,43614692035,3663465910698,1810237422,14480337276,469051149051,5031166539,4195012911,561404718673,24325714518,661099194,2237664818976,,1067970295,2335953661,111149984449,168861214587,10362898671,186666679,549265642,4591572597,39564257785
1. Chi phí trả trước dài hạn261,625121515,169373442894,557192248,2342900819,62035238,2261930367,40928409403,3630161349445,1810237422,14382465264,404395240995,4457981584,4195012911,422483286518,24325714518,661099194,1013964689527,,1067970295,2335953661,111149984449,76921977923,10362898671,186666679,482195642,1802885117,29070896008
2. Tài sản thuế thu nhập hoãn lại262,1449396897,,,,,,2686282632,33304561253,,97872012,56872498004,573184955,,44141262384,,,160892490195,,,,,,,,67070000,,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",,,,,,,,,,,,,,,,,4834503690,,,,,,,,,2788687480,
4. Tài sản dài hạn khác268,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Lợi thế thương mại,,,,,,,,,,,7783410052,,,94780169771,,,1057973135564,,,,,91939236664,,,,,10493361777
