Mã CK,COM,CPA,CPC,CPH,CPI,CQN,CQT,CRC,CRE,CSC,CSM,CST,CSV,CT6,CTB,CTD,CTF,CTI,CTP,CTR,CTT,CTW,CTX,CVN,CVT,CX8,CYC,D11,D2D,DAC,DAD,DAE,DAH,DAN,DAS,DAT,DBC,DBD,DBM,DBT,DC1,DC2,DC4
2. Tài sản thuế thu nhập hoãn lại262,2463999305,,,27215838770,,,,,,7079079969,,,12503362726,,2723950695,143428379201,,511536885,,2195351143,118346376,,,,,,,,5233582881,,,,,,,,22429503546,13292102945,,12737701102,,,9306135318
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Tài sản dài hạn khác268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Lợi thế thương mại,,,,,,,,,507655290,,,,,,,109237120149,77206767791,,,,,,,,,,,,,,,,,,,,,,,34383185228,,,33692565178
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TỔNG CỘNG TÀI SẢN280,484766890338,103430726952,123226129620,220656664813,43211118357,1137197723485,512502590455,1214924583253,7180709861791,2309496638236,3815256503260,2651371483986,1858998056689,191022485136,709230450583,22868774738132,3917631338920,4561347537632,155357126564,7106257863668,737471163750,810865223904,1930490154992,477218665839,3334553021946,83536529168,228753068093,364566988810,1516265990842,13399347506,163240409284,50771124351,1087640004404,1596130653938,152608043435,1521136081288,14121555827597,2264206532716,100672453140,993757091255,232380003248,322381483043,2420047732183
NGUỒN VỐN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. NỢ PHẢI TRẢ300,50481028465,62562537751,36929168418,162520472399,66623902593,158122102610,252288435595,394449381572,1519100039375,1462648728058,2455068095606,1580784371402,304981686952,125027837703,404945339255,14277507533298,2795119067668,3037357352620,6840060073,5241194601349,668868032871,241964517198,904995128341,67980466024,2364039217553,55347784093,345855603207,175484909610,769467064144,19163868704,65954762265,8879198230,166239403402,831060707262,95440920419,620520944554,7355476127696,603065716999,33011347278,709724176670,177054791463,202709408602,1613748444778
I. Nợ ngắn hạn310,50481028465,24640803828,36929168418,162520472399,14874809587,158122102610,211586122700,257836125055,1446244717290,1150534206752,2384697160589,1325354371402,304981686952,122309302730,386746230803,14223343211591,2417958978583,749053364152,6840060073,4652946611620,651653926471,142495276707,748199519975,55032972873,1681874371557,52787662486,345855603207,154970593808,245889969283,19163868704,65954762265,8870198230,17069407254,400253160464,90187022446,620175558333,6420694102809,460154613654,33011347278,675728390391,121279430275,202709408602,1219833263431
1. Phải trả người bán ngắn hạn311,3047581800,3550144771,9192764970,7531895797,11040646099,20406538860,100917952938,14144336397,133411171349,406839295574,265024325699,899031217624,33443651980,74610727707,207689284841,6161311960211,217056737424,144913407602,181300000,607596781619,561834536614,18734070934,169696471103,8878364296,242757627428,128554244,86110828170,18460953455,12041236768,6986083916,26234871552,6398953990,744192057,134809304654,2878318952,14582848845,762647490938,160802900081,29462909086,117197486670,14917443951,50921725983,114097233609
2. Người mua trả tiền trước ngắn hạn312,6926252932,3410000000,,123593527779,84531170,1553505238,10161945071,2142844132,9250735144,263116679887,14842927333,,1247908531,15747042093,66552257468,2387486645926,62692978996,84903308773,,412903727151,76484900,396962714,55532337799,,3096232541,975501163,63140838092,34415090383,76159088500,101333083,1458588466,174808538,55937599,2139512912,652327237,34824518404,207417787622,15976752341,34324325,221770192,3930467102,7697589907,915046391617
