Mã CK,THG,THM,THN,THP,THS,THT,THU,THW,TID,TIE,TIG,TIP,TIS,TIX,TJC,TKA,TKU,TL4,TLD,TLG,TLH,TLI,TLP,TLT,TMB,TMC,TMG,TMP,TMS,TMT,TMW,TMX,TN1,TNA,TNB,TNC,TNG,TNH,TNI,TNP,TNS,TNT,TNV,TNW,TOP,TOS
7. Dự phòng phải thu dài hạn khó đòi219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II. Tài sản cố định220,327101558982,80198155266,559065563047,393708114057,8931524323,581571516869,8953313921,6399208196,504315380339,5925920155,141111725368,22209882927,1044581328474,34649591287,11174239435,9242839073,211395956077,167051706545,150905172323,528291326958,320369103943,796427320,1569612230872,82535293348,47548903000,116137562107,187487868557,754956530695,3441733414116,199013984320,21349376191,1652800231,22336078509,37502172201,85171086912,102379022174,2117164741739,1759990742497,93421310621,71475184438,175482599832,1423761213,58944760959,644066076970,1179483222,1899179258621
1. Tài sản cố định hữu hình221,294298704732,78138564216,558682296365,357844978184,8931524323,577709704293,8953313921,4035897022,425724758849,5893751680,141111725368,22209882927,1009838503233,34649591287,3918943435,9242839073,211310288756,35988306545,150905172323,504876115604,221276025987,796427320,1241177212878,57751183969,44606076775,39972796678,187487868557,741528799031,3358269760366,197049564820,21349376191,1652800231,12617105458,10587410389,84978828847,102379022174,1960839540584,1681423063063,93409035616,57166829466,175482599832,1423761213,57456523464,643017096234,,1680484435857
- Nguyên giá222,757439129451,109100259167,1494561551741,741703733260,29138612464,2511335892098,79410684967,25463992446,1109760307726,28897325759,218865336409,107057637000,4667059172866,178387542785,5425233348,69318934257,592694341655,80677745706,267135893777,1341014256759,429517090565,5919276849,2407539659173,382900872815,187050633996,150590496593,993375752582,3262556211498,4485199397392,408128857162,69638495440,19532739770,65937466361,47916124147,354164343090,191048192398,3479629193160,1869421901564,136082657167,126531635007,547206697745,5066991818,105914676995,1093549881284,,3803723417500
- Giá trị hao mòn lũy kế 223,-463140424719,-30961694951,-935879255376,-383858755076,-20207088141,-1933626187805,-70457371046,-21428095424,-684035548877,-23003574079,-77753611041,-84847754073,-3657220669633,-143737951498,-1506289913,-60076095184,-381384052899,-44689439161,-116230721454,-836138141155,-208241064578,-5122849529,-1166362446295,-325149688846,-142444557221,-110617699915,-805887884025,-2521027412467,-1126929637026,-211079292342,-48289119249,-17879939539,-53320360903,-37328713758,-269185514243,-88669170224,-1518789652576,-187998838501,-42673621551,-69364805541,-371724097913,-3643230605,-48458153531,-450532785050,,-2123238981643
2. Tài sản cố định thuê tài chính224,,2059591050,,,,,,,,,,,,,,,,,,,6222551003,,,24784109379,,,,,,,,,,,,,,,,,,,,,,775561014
- Nguyên giá225,,2481435000,,,,,,,,,,,,,,,,,,,18440963157,,,49020056637,,,,,,,,,,,,,,,,,,,,,,2219704000
- Giá trị hao mòn lũy kế 226,,-421843950,,,,,,,,,,,,,,,,,,,-12218412154,,,-24235947258,,,,,,,,,,,,,,,,,,,,,,-1444142986
3. Tài sản cố định vô hình227,32802854250,,383266682,35863135873,,3861812576,,2363311174,78590621490,32168475,,,34742825241,,7255296000,,85667321,131063400000,,23415211354,92870526953,,328435017994,,2942826225,76164765429,,13427731664,83463653750,1964419500,,,9718973051,26914761812,192258065,,156325201155,78567679434,12275005,14308354972,,,1488237495,1048980736,1179483222,217919261750
- Nguyên giá228,38976911419,,952621550,41680871696,,789426681419,,8894824000,91301689163,350928947,445790000,35000000,163488607855,445000000,7310296000,,547332919,131063400000,,81114342736,139901687045,313400000,435729203153,,5935903091,102373187883,629245319,20924565426,95752393000,2983945000,167243000,522000000,32847987608,28194999917,770000000,340000000,197885252625,88379263627,1145540440,14308354972,,47365000,1680520000,1824974325,1661300000,219290529186
