Mã CK,API,APL,APP,APT,ARM,ASG,ASM,ASP,AST,ATA,ATB,ATG,ATS,AVC,AVG,BAF,BAL,BAX,BBC,BBH,BBM,BBS,BBT,BCA,BCB,BCC,BCE,BCF,BCG,BCM,BCP,BCR,BCV,BDB,BDG,BDT,BDW,BED,BEL,BFC,BGE,BGW,BHA,BHC,BHG
2. Trả trước cho người bán dài hạn212,,,,,,,14500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn215,,,,,,,,,,,,,,,,,,,,,,,14000000000,,,,,,213597000000,,,,,,,,,,,,197597000000,,,,32258188000
6. Phải thu dài hạn khác216,80033202813,,,324471893,,11261439560,32862815013,25529778590,6917310490,,52391030300,,,,,223711119764,,,23000000,,,,210000000,22537669933,41730374443,9668784430,312840000,,8966355684983,323372259564,325190320,6132337628520,,,201733066,10124970631,421164361,,15500000,4650098980,22507298906,,,,16420347
7. Dự phòng phải thu dài hạn khó đòi219,,,,,,,,,,,-47775785480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II. Tài sản cố định220,16936410272,3857897162,3946963821,32740617185,6520770106,457312520023,6358160566795,109444419213,136128332805,16510302871,9960685681,29007577,98750286,853152293265,92268743080,2394359900776,3973385952,23844156898,540032259558,10920603876,11144371540,69234474808,81919448351,1281705979808,62086321465,2597590850642,65890737015,70702875139,9146761672416,1062168940344,41929613321,83103675443,11776417657,3843317872,186258390439,102833336552,363384211917,16587891192,534392502,633070762630,8842354518914,103298768564,1383784271517,19093247040,30804254560
1. Tài sản cố định hữu hình221,16839233842,3857897162,3946963821,32740617185,5962321719,418982455811,4650422025339,25869602965,112027818385,13026882871,1382329786,29007577,98750286,755532593931,63410898280,2370091495437,3973385952,23844156898,538269914553,10920603876,11144371540,69234474808,80946765261,1280110444300,62086321465,2588449768870,52239745952,70438186488,8724888453849,933483443552,39089684082,81791511451,11776417657,935844425,185293709231,80680934476,363267326738,1438567775,491782477,420378238412,8447997047616,103298768564,1383784271517,19093247040,30804254560
- Nguyên giá222,28998498277,30983019747,32004188677,135139342508,20427146451,1233311488937,6587583140995,181688829776,312142647359,97638079587,27208992814,34809091,213124969,3365605325010,81803315184,2799386400242,62465030369,69077573511,1161792457233,75283690061,61455639221,332011700880,151420941680,2729109250119,233734229325,7907916466621,100572273845,282599063255,11118284011832,2785989360974,100660939127,129145831002,42218490274,6317629279,534316422805,367844068798,975061504927,13010138192,11803838547,1276661250904,10380306104480,350448462583,2607768668981,83145122993,122671103622
- Giá trị hao mòn lũy kế 223,-12159264435,-27125122585,-28057224856,-102398725323,-14464824732,-814329033126,-1937161115656,-155819226811,-200114828974,-84611196716,-25826663028,-5801514,-114374683,-2610072731079,-18392416904,-429294904805,-58491644417,-45233416613,-623522542680,-64363086185,-50311267681,-262777226072,-70474176419,-1448998805819,-171647907860,-5319466697751,-48332527893,-212160876767,-2393395557983,-1852505917422,-61571255045,-47354319551,-30442072617,-5381784854,-349022713574,-287163134322,-611794178189,-11571570417,-11312056070,-856283012492,-1932309056864,-247149694019,-1223984397464,-64051875953,-91866849062
