Mã CK,BHK,BHN,BHP,BIG,BIO,BKC,BKG,BLF,BLN,BLT,BMC,BMD,BMF,BMG,BMJ,BMN,BMP,BMV,BNA,BNW,BOT,BPC,BQB,BRC,BRR,BRS,BSA,BSC,BSD,BSG,BSH,BSL,BSP,BSQ,BSR,BST,BT1,BT6,BTB,BTD,BTG
- Nguyên giá228,,175579262280,33170344631,45352541800,,1111264959,22812500000,9362965380,716722500,9634147126,32950000,,12677677564,17777070340,185000000,,35403181238,385150000,6098456667,7828798850,,,,,1338601683,11434522746,3773470000,97200000,76932152,3709271250,1488873741,380862152,,519545034,1003030495084,83000000,14196344000,,202164500,98100000,90000000
- Giá trị hao mòn lũy kế 229,,-100362008162,-3669064980,-105541800,,-1111264959,,-5659979797,-559299592,-312400000,-32950000,,-1520209263,-8196123388,-185000000,,-29086713254,-385150000,-3527274499,-5590870686,,,,,-1276935016,,-321301452,-97200000,-16130934,-1896528195,-1428417203,-318889028,,-441772646,-807483633914,-83000000,-4200000000,,-202164500,-98100000,-12000000
III. Bất động sản đầu tư230,,2881508740,,20748592145,,,20094164518,,,,,,,,8668420969,,,,,,,,2145265969,,,,,1116592928,605975834,,,,,,,,,,,1000000000,
- Nguyên giá231,,12418243746,,21407088327,,,24840129972,,,,,,,,8668420969,,,,,,,,10005792259,,,,,3799189568,8331337229,,,,,,,210725800,,,,1000000000,
- Giá trị hao mòn lũy kế232,,-9536735006,,-658496182,,,-4745965454,,,,,,,,,,,,,,,,-7860526290,,,,,-2682596640,-7725361395,,,,,,,-210725800,,,,,
IV. Tài sản dở dang dài hạn240,,16835179030,1387772667,,,11902048907,42253406940,2132788908,,1922679720,,,226250000,15583656615,,,19554238355,527103450,74727222201,200346381604,,,,129500000,140595393896,,3095175212,,160892578,664083636,,241039091,15380744633,14435516699,1352499633312,,1323797389,8993791207,,1501353008,
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Chi phí xây dựng cơ bản dở dang242,,16835179030,1387772667,,,11902048907,42253406940,2132788908,,1922679720,,,226250000,15583656615,,,19554238355,527103450,74727222201,200346381604,,,,129500000,140595393896,,3095175212,,160892578,664083636,,241039091,15380744633,14435516699,1352499633312,,1323797389,8993791207,,1501353008,
V. Đầu tư tài chính dài hạn250,,476670079750,22500000000,30896000000,,28570216075,236110000000,661886123,,14102287,,,61186803984,623441122,921500000000,,63787363980,,,14270362558,,,,,664613724547,,,15324168575,8530500000,,,,,,9536543303,727920000,,34061563398,,,
1. Đầu tư vào công ty con251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
