Mã CK,NAV,NAW,NBB,NBC,NBE,NBP,NBT,NBW,NCG,NCS,NCT,ND2,NDC,NDN,NDP,NDT,NDW,NDX,NED,NEM,NET,NFC,NHA,NHC,NHH,NHT,NJC,NKG,NLG,NLS,NNC,NNT,NO1,NOS,NQB,NQN,NQT,NRC,NS2,NSC,NSG,NSH,NSL,NSS,NST,NT2
- Nguyên giá222,29961365450,1338676591755,252739545688,4883173666935,24428346420,603861351956,971457139945,556330613189,1388899753666,566060443729,374077491070,2144430416217,232632201155,8923401088,123091932859,1200271648024,1248329208247,101768582635,769161128861,48704229336,407750841108,87990279758,123452888294,81173679529,1638307185351,302997176906,148014953959,5084074628216,175718631194,167817637741,94112514187,483010098325,52416645622,1856784791902,497423507834,2972601543391,486495365603,13778902954,2518962729027,997780553784,123370285588,341338524522,355141945201,109997014144,320105278164,11332539745648
- Giá trị hao mòn lũy kế 223,-20000877936,-860445416944,-66515430989,-3611046728637,-17211296115,-510893443936,-546145103205,-377177048440,-631391155041,-266372087658,-292451393540,-817825269708,-141069172575,-6050922359,-106409752159,-737119036077,-922800840392,-61461667883,-220463566076,-28876570927,-207971545834,-80951907929,-60477774685,-17045718213,-873652935714,-174753664968,-113719587401,-3383776890696,-103602252052,-105160904961,-44372529986,-399609478040,-33243951618,-1644368417724,-304193552980,-2086173943120,-314922679503,-5508443945,-1367536141639,-450910211211,-79571399206,-222388128983,-268082087785,-95712511494,-278784824989,-9912922068958
2. Tài sản cố định thuê tài chính224,,,,,,,,,22554729291,,,,,,,15475363622,,,,,,,,,56808705545,,,,,,,,7821524113,,,,,,1819981088,,,,,,,
- Nguyên giá225,,,,,,,,,26005404773,,,,,,,19785906253,,,,,,,,,69632760488,,,,,,,,8998504876,,,,,,2270834091,,,,,,,
- Giá trị hao mòn lũy kế 226,,,,,,,,,-3450675482,,,,,,,-4310542631,,,,,,,,,-12824054943,,,,,,,,-1176980763,,,,,,-450853003,,,,,,,
3. Tài sản cố định vô hình227,,63968142,31377827986,,20333010426,,165351598,1067344960,106937467393,,9535590604,,225830486287,468319376,4589050091,882648895,247414344,5044315016,,,3735770547,67255707,,508230362,7433730165,1048871842,1353345848,321046938798,70798840291,328692230,5512242122,123155032,,506215611,173358920,2380915722,704875529,58635699714,543516779,220918201199,354440000,,,9093269783,1110077134,22050906250
- Nguyên giá228,154811950,518800000,31746927986,396933150,20539225000,996450000,1513000000,14186235253,161411087207,4748831818,24249871427,,229306782116,770949376,6927216091,1517544000,1702865000,5355270029,360000000,,4531881407,325000000,,860470113,17164966365,5250782520,2377450000,391098129684,139153368847,1946067884,16191699700,2984578363,64395000,723165149,719000000,9497347938,1509554000,59462034270,2043777890,270614585343,505400674,,,15019256267,2074178500,31602900921
- Giá trị hao mòn lũy kế 229,-154811950,-454831858,-369100000,-396933150,-206214574,-996450000,-1347648402,-13118890293,-54473619814,-4748831818,-14714280823,,-3476295829,-302630000,-2338166000,-634895105,-1455450656,-310955013,-360000000,,-796110860,-257744293,,-352239751,-9731236200,-4201910678,-1024104152,-70051190886,-68354528556,-1617375654,-10679457578,-2861423331,-64395000,-216949538,-545641080,-7116432216,-804678471,-826334556,-1500261111,-49696384144,-150960674,,,-5925986484,-964101366,-9551994671
III. Bất động sản đầu tư230,,,24015925922,,,,,,,,,,,191897473539,9907956100,5118669587,,27502977200,,,4165584044,,,1180803632,,126427711242,,,315908675392,,,,30000000000,,,,,65938200000,,10832299274,,,,,,
- Nguyên giá231,,,30103487556,,,,,,,,,,,206712448560,30880192830,17955138931,,27638529318,,,34505676919,,,1999184634,,213234816550,14154166728,,388138081320,,,,30000000000,,,,,66150000000,,14808361147,,,,,,
- Giá trị hao mòn lũy kế232,,,-6087561634,,,,,,,,,,,-14814975021,-20972236730,-12836469344,,-135552118,,,-30340092875,,,-818381002,,-86807105308,-14154166728,,-72229405928,,,,,,,,,-211800000,,-3976061873,,,,,,
IV. Tài sản dở dang dài hạn240,1618225706,6290598177,1795748506865,88175797748,,,5987654595,9308164653,85345406906,,,,8827367896,11366593216,91536689569,18166093664,18007554497,,,,11869496889,,539088747966,,1533607401,1759832559,6539198457,285776095884,5449486778,5302507308,,25530976161,815982407,4432731235,14458954489,78977706978,4315858561,,42782093677,10580075582,,1030009462,11977341316,,,
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61522861960,,,,,,,,,,
2. Chi phí xây dựng cơ bản dở dang242,1618225706,6290598177,1795748506865,88175797748,,,5987654595,9308164653,85345406906,,,,8827367896,11366593216,91536689569,18166093664,18007554497,,,,11869496889,,539088747966,,1533607401,1759832559,6539198457,285776095884,5449486778,5302507308,,25530976161,815982407,4432731235,14458954489,17454845018,4315858561,,42782093677,10580075582,,1030009462,11977341316,,,
V. Đầu tư tài chính dài hạn250,11498100000,13406873080,36550000000,,1212500000,2500000000,,,161129260669,,65049600000,,255000000,55363724961,90000000,46419254611,,,130679860000,,,,4545406029,,117453931611,,9000000000,524521155000,1794387282984,,120678687400,,,,,,,102764879084,,26061735380,,,10000000000,1030000000,,
1. Đầu tư vào công ty con251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh252",11498100000,,,,,,,,93005975891,,,,,54504825693,,42174817724,,,130679860000,,,,,,117453931611,,,,1791978282984,,,,,118275077850,,,,102764879084,,,,,10000000000,,,
3. Đầu tư góp vốn vào đơn vị khác253,,13790916000,38550000000,,1212500000,2500000000,,,68123284778,,65049600000,,255000000,4000000000,90000000,2744436887,,,,,716390400,,10000000000,,,,5000000000,,2409000000,,121451902000,,,,,,,,,26061735380,,,,1030000000,,
4. Dự phòng đầu tư tài chính dài hạn254,,-384042920,-2000000000,,,,,,,,,,,-3141100732,,,,,,,-716390400,,-5454593971,,,,,,,,-773214600,,,-118275077850,,,,,,,,,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn255,,,,,,,,,,,,,,,,1500000000,,,,,,,,,,,4000000000,524521155000,,,,,,,,,,,,,,,,,,
6. Đầu tư dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác260,226430160,5391099891,281778625960,65039935913,533021074,10337846147,23071536153,9732324765,293493555559,10600281888,64772085743,31993251987,49515032242,4384236633,17481935613,9488292450,16876727106,742353433,9681114502,11779974279,51865897071,472451270,55313027,2874967664,142076071835,137405882930,11527581994,483735419592,500167905852,1146301505,69223916591,4484493444,20542034883,24411846828,4577181988,8324613768,4411787599,39937034,75434149491,48230838327,12330308872,12680272062,10260619450,4250586616,25331048520,1482366663274
1. Chi phí trả trước dài hạn261,226430160,5391099891,242145381517,26335227123,533021074,1111681641,23071536153,5916611038,204156342457,10600281888,64772085743,31993251987,49002722444,4109599217,17051987190,8898788173,16876727106,742353433,9681114502,11779974279,42521282196,472451270,55313027,2874967664,141534175332,137405882930,11380991970,483735419592,98923536250,1146301505,65317316591,4484493444,20542034883,24411846828,4577181988,8324613768,4411787599,39937034,75434149491,31382086850,12330308872,12680272062,10260619450,4250586616,25331048520,1482366663274
2. Tài sản thuế thu nhập hoãn lại262,,,5633244443,38704708790,,,,3815713727,7875194065,,,,512309798,274637416,429948423,589504277,,,,,9344614875,,,,541896503,,146590024,,401244369602,,3906600000,,,,,,,,,11039285519,,,,,,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",,,,,,9226164506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Tài sản dài hạn khác268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Lợi thế thương mại,,,34000000000,,,,,,81462019037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5809465958,,,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TỔNG CỘNG TÀI SẢN280,117856884421,742701331175,7753558810731,2570220921022,172475707890,475687340832,548007740896,325405714102,3775503706344,472003856409,740874801677,1482272668022,748950740838,1277801391839,326634977978,933660530728,471600549129,213547027442,727592595044,70955183447,986305318641,348901225209,800671014397,94122343804,1930231139346,555207933031,367055608018,13519085552805,30318114011075,145570369859,485884969241,385334525727,537731592625,361512113581,254738096586,1130660779992,307990644104,1929368276887,1556425073199,2154864352409,68236228785,912241314817,177746021496,183727273518,295559598503,8697847050278
NGUỒN VỐN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
