Mã CK,PET,PFL,PGC,PGD,PGN,PGS,PGT,PGV,PHC,PHH,PHN,PHP,PHR,PIA,PIC,PIS,PIT,PIV,PJC,PJS,PJT,PLA,PLC,PLE,PLP,PLX,PMB,PMC,PMG,PMJ,PMP,PMS,PMT,PMW,PNC,PND,PNG,PNJ,PNP,PNT,POB,POM,POS,POT,POV
7. Dự phòng phải thu dài hạn khó đòi219,,,,,,,,,,,,,,,,,,,,,,,,,,-2367000000,,,,,,,,,,,,,,,,,,,
II. Tài sản cố định220,268534084979,12285144772,293641148767,262987060581,24610491591,382439290925,90563149,33014635888534,344392032774,,9320307903,1826395212994,1809772147653,4131465827,327244617453,57386130041,55364423543,128956819,116244706965,100228679314,262188894204,14697899899,641644077421,7292364347,557222802707,13585527863398,3719537224,34272818764,441318250627,4100034085,56774584159,55690915511,7667456635,399206925180,29928993906,31224534773,68595482660,857118818527,142645642578,9234166708,57948328591,1274093974445,152819991561,248776070316,140281595787
1. Tài sản cố định hữu hình221,100414567173,12285144772,223061806119,215135758025,22064344663,356612713178,90563149,32424583190760,339567727677,,9136879743,1819211644715,1809293919565,4131465827,322278924050,47410190121,53299142925,23931826,109426674487,95960679772,262188894204,14644085504,630171867089,3692364347,350109793267,11198732428507,3719537224,32058363300,441318250627,4100034085,53250438042,54478440853,3471401188,397847969539,28410287586,29458091959,68595482660,248430247930,142645642578,9234166708,55135821904,1148930765361,151781387724,105691866600,128708600406
- Nguyên giá222,413710501549,25208916667,963161283038,1097190416847,46821896171,2081069256202,2244234895,115437074131501,435727324730,451703454,77888793218,6796553866808,2951344507749,18980907973,654522945834,187579583501,190964516171,36818182,525923170515,439155055079,792154042061,27355303495,1768798419778,10852539591,450603627514,37616410718322,43733855700,223840742602,782672603994,34117545446,176539023728,155868176494,113197189770,674493742510,146679216771,110835534021,117661818000,796271142120,381533052435,17397343450,125724100915,5130320242789,1067085483678,293703881642,351600315104
- Giá trị hao mòn lũy kế 223,-313295934376,-12923771895,-740099476919,-882054658822,-24757551508,-1724456543024,-2153671746,-83012490940741,-96159597053,-451703454,-68751913475,-4977342222093,-1142050588184,-14849442146,-332244021784,-140169393380,-137665373246,-12886356,-416496496028,-343194375307,-529965147857,-12711217991,-1138626552689,-7160175244,-100493834247,-26417678289815,-40014318476,-191782379302,-341354353367,-30017511361,-123288585686,-101389735641,-109725788582,-276645772971,-118268929185,-81377442062,-49066335340,-547840894190,-238887409857,-8163176742,-70588279011,-3981389477428,-915304095954,-188012015042,-222891714698
2. Tài sản cố định thuê tài chính224,,,,,2546146928,,,,4532111257,,,,,,,,,,,,,,,,195428171553,,,,,,3140924943,,,,,,,,,,,125098042423,,141301830716,
- Nguyên giá225,,,,,4552909091,,,,5208181818,,,,,,,,,,,,,,,,197369772026,,,,,,6776136920,,,,,,,,,,,139514545455,,142525223190,
- Giá trị hao mòn lũy kế 226,,,,,-2006762163,,,,-676070561,,,,,,,,,,,,,,,,-1941600473,,,,,,-3635211977,,,,,,,,,,,-14416503032,,-1223392474,
3. Tài sản cố định vô hình227,168119517806,,70579342648,47851302556,,25826577747,,590052697774,292193840,,183428160,7183568279,478228088,,4965693403,9975939920,2065280618,105024993,6818032478,4267999542,,53814395,11472210332,3600000000,11684837887,2386795434891,,2214455464,,,383221174,1212474658,4196055447,1358955641,1518706320,1766442814,,608688570597,,,2812506687,65166661,1038603837,1782373000,11572995381
- Nguyên giá228,184588212312,140846000,87675014654,63211663876,,43821978900,1400891772,672522668546,1432965600,,310946712,45334455654,1459651023,1654405900,5142799409,13661264000,4255568140,153600000,7926357000,7998087000,,135440000,22639693331,3739181700,15036788688,3324142680857,95613600,8057764909,2818181818,,817426630,2080950110,6956452379,3050237176,7882579934,3171000000,,708142194553,,2661809400,7356002536,14636504484,20146273000,2193782000,12366901609
