Mã CK,SDP,SDT,SDU,SDV,SDY,SEA,SEB,SED,SEP,SFC,SFG,SFI,SFN,SGC,SGD,SGH,SGI,SGN,SGP,SGR,SGS,SGT,SHA,SHC,SHE,SHI,SHN,SHP,SID,SIG,SII,SIP,SIV,SJ1,SJD,SJE,SJF,SJG,SJM,SJS,SKG,SKH,SKN,SKV
7. Dự phòng phải thu dài hạn khó đòi219,,,,,,,,,,,,,,,,-177218166,,-27868604900,,-7500000000,,-17500000000,,,,-795402233,-7578834000,,,,,,,,,,-101500000000,,,,,,,
II. Tài sản cố định220,16352033671,511032483582,189677323,114031710683,2378474700,74872818233,433425259051,54776306719,406648978783,64842539084,137568856193,49404492971,7362524169,146448527369,12182154623,25009637501,567860573975,195714110442,1711177635095,9765568039,17859842515,52455891960,139013888774,30518700202,22981649088,1142521091814,24364914312,1111915592606,78787164522,597281923179,1664351525939,1308288101216,88057478187,243108832803,254220536602,1187787399371,161085890370,7069419166562,,220499841314,358930187631,160706250048,1619579790,112934131978
1. Tài sản cố định hữu hình221,16352033671,504132367388,189677323,114001969017,2378474700,53358251894,423338631019,54776306719,359520568780,15103686537,57435236950,47128327697,7362524169,146038211249,5707053310,25009637501,481819758078,183403860442,1687470655503,7707081194,13305861007,52429291950,99229746152,30518700202,22981649088,558110267811,14377375212,1109195728969,75657782840,597281923179,1662003710601,1304161121038,88057478187,141041346102,250820536602,1180699722137,105139642401,6995524803852,,219754546616,351383667725,160523527829,1619579790,107498560978
- Nguyên giá222,27008458013,1408411290591,24401769059,338945170907,74222825568,330706882858,1066189750265,78604311297,642474940219,67436188141,551551346087,220093669740,130836473387,295914317211,16463897100,83600522397,983817911374,1085301325343,3792816446856,38410592081,41668989649,156386847215,243744930708,96690451897,39289235895,1306660232479,34335901024,3111890073777,165799920753,775997945576,2640801649797,1994239104577,135019817708,273474181348,1959893449667,1841854107363,241671763092,17472894960956,162500000,326912110150,789078036624,407724387557,44266037277,233554334307
- Giá trị hao mòn lũy kế 223,-10656424342,-904278923203,-24212091736,-224943201890,-71844350868,-277348630964,-642851119246,-23828004578,-282954371439,-52332501604,-494116109137,-172965342043,-123473949218,-149876105962,-10756843790,-58590884896,-501998153296,-901897464901,-2105345791353,-30703510887,-28363128642,-103957555265,-144515184556,-66171751695,-16307586807,-748549964668,-19958525812,-2002694344808,-90142137913,-178716022397,-978797939196,-690077983539,-46962339521,-132432835246,-1709072913065,-661154385226,-136532120691,-10477370157104,-162500000,-107157563534,-437694368899,-247200859728,-42646457487,-126055773329
2. Tài sản cố định thuê tài chính224,,6900116194,,,,,,,7862500003,,,,,,,,67217453974,,,,,,509107396,,,97383040272,,,,,,,,11561717730,,,,64891386463,,,,,,
- Nguyên giá225,,7214482285,,,,,,,8500000000,,,,,,,,157727674366,,,,,,1090944420,,,136570655990,,,,,,,,14417317315,,,,95393691019,,,,,,
- Giá trị hao mòn lũy kế 226,,-314366091,,,,,,,-637499997,,,,,,,,-90510220392,,,,,,-581837024,,,-39187615718,,,,,,,,-2855599585,,,,-30502304556,,,,,,
3. Tài sản cố định vô hình227,,,,29741666,,21514566339,10086628032,,39265910000,49738852547,80133619243,2276165274,,410316120,6475101313,,18823361923,12310250000,23706979592,2058486845,4553981508,26600010,39275035226,,,487027783731,9987539100,2719863637,3129381682,,2347815338,4126980178,,90505768971,3400000000,7087677234,55946247969,9002976247,,745294698,7546519906,182722219,,5435571000
- Nguyên giá228,,,,358463000,,33221748042,11171258705,1839737688,39845639600,68963880865,114702444707,4656545000,75000000,532700000,6595856872,376500000,74047767323,13084318000,77362046935,2159623500,5579061908,492872900,55124134444,,159181000,503492879208,9987539100,3315309947,5946410250,,6031923271,8979124611,1115877290,102281820014,3400000000,7204928986,60000000000,15392116668,,999212051,9756532581,924277779,,5660571000
