Mã CK,XDH,XHC,XLV,XMC,XMD,XMP,XPH,YBC,YBM,YEG,YTC,ABA
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán
Công ty kiểm toán,VAE,RSM,A&C,NVA,NVA,AASC,AVA,NVT,A&C,EY,A&C,
Ý kiến kiểm toán,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,
Ngày công bố báo cáo,03-04-2025,04-04-2025,26-03-2025,03-04-2025,14-03-2025,05-03-2025,27-02-2025,02-04-2025,29-03-2025,31-03-2025,18-03-2025,02-04-2025
Ngày ký kiểm toán,29-03-2025,02-04-2025,21-03-2025,29-03-2025,10-03-2025,24-02-2025,24-02-2025,28-03-2025,29-03-2025,31-03-2025,15-03-2025,
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,
9. Trái phiếu chuyển đổi339,,,,,,,,,,,,
10. Cổ phiếu ưu đãi (Nợ)340,,,,,,,,,,,,
11. Thuế thu nhập hoãn lại phải trả341,,,,,,,,,,,,7783239490
12. Dự phòng phải trả dài hạn342,,,,9034416615,,,,,,,,
13. Quỹ phát triển khoa học và công nghệ343,,,,,,,,,,,,
14. Dự phòng trợ cấp mất việc làm,,,,,,,,,,,,
B. VỐN CHỦ SỞ HỮU400,550184886555,365216901380,57162448225,887638965291,42486025452,172870752182,144540496345,137614133735,187234761087,1499878498869,179676610307,-113650645376
I. Vốn chủ sở hữu410,550184886555,365216901380,57162448225,887638965291,42486025452,172870752182,144540496345,137614133735,187234761087,1499878498869,179676610307,-113650645376
1. Vốn góp của chủ sở hữu411,270269070000,210965000000,30000000000,714056890000,40000000000,150000000000,129724750000,118000000000,142998800000,1370014540000,95480000000,152481570000
- Cổ phiếu phổ thông có quyền biểu quyết411a,270269070000,210965000000,30000000000,714056890000,40000000000,150000000000,129724750000,118000000000,142998800000,1370014540000,95480000000,151859300000
- Cổ phiếu ưu đãi411b,,,,,,,,,,,,622270000
2. Thặng dư vốn cổ phần412,,,,,3634000000,,99524000,9086494455,,140518254,64157200000,
3. Quyền chọn chuyển đổi trái phiếu413,,,,,,,,,,,,
4. Vốn khác của chủ sở hữu414,,,,,,,,261000000,,,,
5. Cổ phiếu quỹ (*)415,,-100000000,,-30845085,,,,-258200000,,,,
6. Chênh lệch đánh giá lại tài sản416,,,,,,,,,,,,
7. Chênh lệch tỷ giá hối đoái417,,,,,,,,,,,,
8. Quỹ đầu tư phát triển418,22098683827,,17380563862,6631748703,5604205371,5070781400,95572220798,8492110068,8416238169,,,3402910144
9. Quỹ hỗ trợ sắp xếp doanh nghiệp419,,,,,,,,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu420,,,,,,,,,,,,
11. Lợi nhuận sau thuế chưa phân phối421,257817132728,154351901380,9781884363,147166000063,-6752179919,17799970782,-80855998453,2032729212,35819722918,72654634776,20039410307,-279059699899
- LNST chưa phân phối lũy kế đến cuối kỳ trước421a,236803000276,101450828627,,139342795082,-9969074818,,-73688583315,-12419173864,22487942406,-53053428791,10425479878,-208221243799
- LNST chưa phân phối kỳ này421b,21014132452,52901072753,9781884363,7823204981,3216894899,17799970782,-7167415138,14451903076,13331780512,125708063567,9613930429,-70838456100
12. Nguồn vốn đầu tư XDCB422,,,,,,,,,,,,
13. Lợi ích cổ đông không kiểm soát429,,,,19815171610,,,,,,57068805839,,9524574379
14. Quỹ dự phòng tài chính,,,,,,,,,,,,
II. Nguồn kinh phí và quỹ khác430,,,,,,,,,,,,
1. Nguồn kinh phí431,,,,,,,,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ432,,,,,,,,,,,,
C. LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,,,,,,,,,,,,
TỔNG CỘNG NGUỒN VỐN440,857653985332,676073754112,155923744700,2943806215677,79970855981,384093066573,147968908552,1370459088190,623663590455,2512869600595,1028878873452,313228061480
KẾT QUẢ KINH DOANHMS,,,,,,,,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ 01,155896493884,554979957823,464469371474,1589929495990,138464992442,71497768393,38136757654,846783712063,771126424746,1026485549969,698777612924,
2. Các khoản giảm trừ doanh thu02,,9026616774,,356262228,,,3264282,2402803682,327305000,390681797,5226745816,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ10,155896493884,545953341049,464469371474,1589573233762,138464992442,71497768393,38133493372,844380908381,770799119746,1026094868172,693550867108,
4. Giá vốn hàng bán 11,124687007933,463506102993,434612167599,1448473374727,128256862402,29686956170,29425971634,741449379237,531178535898,855243703997,605419381112,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ20,31209485951,82447238056,29857203875,141099859035,10208130040,41810812223,8707521738,102931529144,239620583848,170851164175,88131485996,
6. Doanh thu hoạt động tài chính21,1792814114,52495519803,57289671,27080648011,3611943,48990435,738445824,438434861,8560217337,191906506913,55764616439,
7. Chi phí tài chính 22,,18285283231,494697107,70826003468,863580631,17361261264,,45217934366,23750436894,51108323960,51015765132,
Trong đó :Chi phí lãi vay23,,17358386749,494697107,70586907151,863580631,17361261264,,41512264052,20497866556,28208427529,10205259023,
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết24",,,,-13000163408,,,,,,-15223546244,,
9. Chi phí bán hàng25,,22561442868,,2691579997,355709875,,4566416044,15591782169,196455978660,26239808550,45603580514,
10. Chi phí quản lý doanh nghiệp26,12299089160,41621983557,16137157601,67622067371,5675860346,5466624772,12054188872,14158309739,9923848029,151633232794,37343624785,
11. Lợi nhuận thuần từ hoạt động kinh doanh30,20703210905,52474048203,13282638838,14040692802,3316591131,19031916622,-7174637354,28401937731,18050537602,118552759540,9933132004,
12. Thu nhập khác31,16610868885,535505638,5000000,11194180005,248398569,310629275,374814271,144055556,77471121,1073324563,1979738333,
13. Chi phí khác32,10464798990,108481088,415302871,5510754556,232860343,536485514,367592055,9288464287,535132568,9003540240,710076948,
