Mã CK,HOM,HOT,HPB,HPD,HPG,HPH,HPI,HPP,HPW,HPX,HQC,HRB,HRC,HSG,HSL,HSM,HSP,HSV,HT1,HTC,HTE,HTG,HTI,HTL,HTM,HTN,HTP,HTT,HTV,HU1,HU3,HU4,HU6,HUB,HUG,HUT,HVA,HVH,HVN,HVT,HVX,HWS,IBD,ICC
II. Tài sản cố định220,476835694932,43723800600,27459358591,94320819124,67428366953514,67211146101,27924188681,92958842218,1350771032376,54638520999,1939109680,,287938395037,4110740000399,41983805086,592588649774,19027255763,24501765721,5073753112455,75611341588,54216530389,743409697671,1085445045410,26928219780,636354370484,232356290203,2306964452,1137570628,30053972417,2120623955,21544556530,2947074294,7388290004,172090108339,84760437873,7095559464254,938955079,49369375310,29591005075890,440758160176,423975341126,1313442001427,5857620776,39212108066
1. Tài sản cố định hữu hình221,476123861114,36961746891,27459358591,94320819124,67244150975048,67211146101,27899813732,92000073912,1349236129620,54638520999,1649925401,,287149428557,3914578436382,32179247994,587223875095,8731305812,14376826123,4432838028375,36687372240,17432580389,741857629190,1085445045410,26606790276,590539700607,232356290203,1564789946,1098978030,30053972417,2120623955,21544556530,2947074294,7388290004,170366432038,84760437873,6227417965201,938955079,49359775296,12887467684898,440399826845,420731552974,1311403044778,5638720776,29450408768
- Nguyên giá222,3036715017243,201686688811,112592316068,282805814678,108146566348954,218136453279,67092666819,303197372977,3726343950269,83321748915,17964836237,23280387964,437558683574,14184242725156,57657763130,1411574199945,98826471657,23168745579,13905242711058,63987657814,40414257477,2205247960387,2568431962883,87883016376,898102203798,335566293402,19286247630,6054553818,236716424631,15927299736,44770033417,13609757713,18244581093,408798814735,269233934801,9619775166416,952179798,73569473437,46821940493280,1218506976195,1225390087311,3441250288609,16288597552,78943823110
- Giá trị hao mòn lũy kế 223,-2560591156129,-164724941920,-85132957477,-188484995554,-40902415373906,-150925307178,-39192853087,-211197299065,-2377107820649,-28683227916,-16314910836,-23280387964,-150409255017,-10269664288774,-25478515136,-824350324850,-90095165845,-8791919456,-9472404682683,-27300285574,-22981677088,-1463390331197,-1482986917473,-61276226100,-307562503191,-103210003199,-17721457684,-4955575788,-206662452214,-13806675781,-23225476887,-10662683419,-10856291089,-238432382697,-184473496928,-3392357201215,-13224719,-24209698141,-33934472808382,-778107149350,-804658534337,-2129847243831,-10649876776,-49493414342
2. Tài sản cố định thuê tài chính224,,,,,,,,,,,,,,,9804557092,5297683423,,,,,,,,,,,,,,,,,,,,24103295454,,,16464198176347,,,,,
- Nguyên giá225,,,,,,,,,,,,,,,12384703717,6014517953,,,,,,,,,,,,,,,,,,,,29712955440,,,33114627353590,,,,,
- Giá trị hao mòn lũy kế 226,,,,,,,,,,,,,,,-2580146625,-716834530,,,,,,,,,,,,,,,,,,,,-5609659986,,,-16650429177243,,,,,
3. Tài sản cố định vô hình227,711833818,6762053709,,,184215978466,,24374949,958768306,1534902756,,289184279,,788966480,196161564017,,67091256,10295949951,10124939598,640915084080,38923969348,36783950000,1552068481,,321429504,45814669877,,742174506,38592598,,,,,,1723676301,,844038203599,,9600014,239339214645,358333331,3243788152,2038956649,218900000,9761699298
- Nguyên giá228,4842380370,10891918998,,,367057604707,,1308101372,9038281469,13024936573,294500000,1468463000,,1669833480,305035244710,,773564443,18732149311,10723424696,693016313071,40221212534,37093603000,13247792834,915724800,733903389,48910103011,705767800,1050709000,167460000,,,,,,5539581562,,983509956972,,32000000,958829468136,901977314,5523713418,7482231222,541163325,16179678613
- Giá trị hao mòn lũy kế 229,-4130546552,-4129865289,,,-182841626241,,-1283726423,-8079513163,-11490033817,-294500000,-1179278721,,-880867000,-108873680693,,-706473187,-8436199360,-598485098,-52101228991,-1297243186,-309653000,-11695724353,-915724800,-412473885,-3095433134,-705767800,-308534494,-128867402,,,,,,-3815905261,,-139471753373,,-22399986,-719490253491,-543643983,-2279925266,-5443274573,-322263325,-6417979315
III. Bất động sản đầu tư230,,,,,559598463093,,125143488606,,,551836707284,,46045520431,,,,,,,,21379619026,,,,,94506412135,200034351830,,54054569421,,,7377519133,,6360228614,48575764626,,1390646940652,,2814624000,,,,,,102883514343
- Nguyên giá231,,,,,860549015615,,236788314230,,,678916528053,,87928438888,,,,,,,,68902869059,,,,,131527016822,218603834786,,65965987380,,,9596350060,,9575317107,104848333397,,1820235913219,,2814624000,,,,,,121896702061
