Ngày ký kiểm toán,05-03-2025,29-03-2025,26-03-2025,28-02-2025,27-03-2025,27-03-2025,26-03-2025,24-03-2025,28-03-2025,26-02-2025,20-03-2025,28-02-2025,29-03-2025,22-03-2025,18-03-2025,25-03-2025,18-03-2025,22-03-2025,18-03-2025,24-03-2025,29-03-2025,28-02-2025,28-02-2025,28-03-2025,25-03-2025,25-03-2025,01-03-2025,20-03-2025,18-03-2025,21-03-2025,27-02-2025,03-03-2025,20-03-2025,27-03-2025,28-02-2025,12-03-2025,03-03-2025,24-03-2025,29-03-2025,06-03-2025,31-03-2025,26-03-2025,10-02-2025,17-02-2025,28-03-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN200,64569019859,172083679623,119998609276,368632425228,138462005286,120427144819,773564066188,670428381671,32501707450,21247676804,23361233580,9475574502456,784509971809,12817132909,3360460552555,11817765455,20350473445,26241984398,149541737746,31825333365,1273573027486,94015055000000,19974483609000,856240215760,1394275984204,39048075139,11151930779,81803712422,61300977187,20577129714,39366166875,82294203724,38427106921,7392997729,1873753745949,840468712455,17174694382362,4601353101564,1801666616076,38203058041,1037919835952,172841345781,265399917618,132156797013,181044040128
I. Các khoản phải thu dài hạn210,40113036,,3649016000,,3327674234,47706789300,1582573895,,,,375000000,1947586983977,14461709916,,,,,,,26000000,40000364000,8524390000000,1199340157000,,6131807000,4673510000,130000000,12000000,,,,175000000,,,146383641785,7487752265,1506052730179,389707802472,13385191366,910510000,134488849505,2167151526,,1346215598,3281280938
1. Phải thu dài hạn của khách hàng211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9469131898,,93599714342,,,,,,,1895654945,
2. Trả trước cho người bán dài hạn212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24653398581,,,,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn215,,,,,,,,,,,,1921000000000,,,,,,,,17000000,,79200000000,,,,,,,,,,,,,,,1080764677466,,,,,,,,
6. Phải thu dài hạn khác216,40113036,,4710000000,,3327674234,47706789300,1582573895,,,,375000000,26586983977,14461709916,,,,,,,9000000,40000364000,8445190000000,1199340157000,,6131807000,4673510000,130000000,12000000,,,,175000000,,,136914509887,7487752265,307034939790,389707802472,13385191366,910510000,134488849505,2167151526,,1483737095,3281280938
7. Dự phòng phải thu dài hạn khó đòi219,,,-1060984000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2033176442,
II. Tài sản cố định220,51458279303,43756045759,748828504,94088264778,13875228065,59641909305,569402991775,641984491212,30128258708,20164106589,13839873921,4752811689146,601795761149,11954769581,1988111381119,341564589,14019628580,24746782511,117667151162,29964666999,699598255413,37049770000000,14299837733000,543751791,582912414243,33043488531,10726342889,63531467436,50844624800,11909726062,35715820649,62803105656,38086456393,7109160947,1169791738503,205829301810,9100520065447,3586628664045,1602655107139,3920697924,654838549110,94436662507,214290229361,110509572244,170117875134
1. Tài sản cố định hữu hình221,49088466016,43756045731,748828504,94088264778,13875228065,34266593516,519102928329,634109057541,30128258708,20164106589,13839873921,4311629683535,587572125324,11944904014,1848122178208,341564589,13861554506,24746782511,117667151162,21202198207,691129238051,27121453000000,13862410999000,543751791,576690193808,33043488531,10726342889,63444143436,50392477400,11909726062,35715820649,62803105656,8873426400,7109160947,1165158207918,198124345017,8401808885120,3523161097906,1191946779038,3312993971,504989244488,87940523560,213914229361,109568506450,170051490131
- Nguyên giá222,272401781505,175318224601,1207716000,152163005393,30808047927,107144392748,1018402332479,1041270588673,102093300169,68823048755,86277417558,5689242755904,1830021157664,206755685977,4184611361410,1201400000,75722901208,130207526375,236090215308,90139423474,2144157872838,47629525000000,24295428149000,4722115932,1539149041340,126642526053,26486678702,91493892970,170747050894,30805371267,114471193018,548555712706,67634676027,17381297167,6223333565732,500748795176,29962641030949,19174626383752,1618749802393,29682844569,819817603161,179098245872,674726494452,316414187617,249575166620
- Giá trị hao mòn lũy kế 223,-223313315489,-131562178870,-458887496,-58074740615,-16932819862,-72877799232,-499299404150,-407161531132,-71965041461,-48658942166,-72437543637,-1377613072369,-1242449032340,-194810781963,-2336489183202,-859835411,-61861346702,-105460743864,-118423064146,-68937225267,-1453028634787,-20508072000000,-10433017150000,-4178364141,-962458847532,-93599037522,-15760335813,-28049749534,-120354573494,-18895645205,-78755372369,-485752607050,-58761249627,-10272136220,-5058175357814,-302624450159,-21560832145829,-15651465285846,-426803023355,-26369850598,-314828358673,-91157722312,-460812265091,-206845681167,-79523676489
2. Tài sản cố định thuê tài chính224,,,,,,25375315789,19095659659,,,,,222742164874,,,,,,,,,,222742000000,,,,,,,,,,,,,,,45229712513,,410708328101,,60807645957,,,,
- Nguyên giá225,,,,,,30174863075,20391502725,,,,,277922817008,,,,,,,,,,345223000000,67300000000,,,,,,,,,,,,,,58290437844,,493336998302,,71000522886,,,,
- Giá trị hao mòn lũy kế 226,,,,,,-4799547286,-1295843066,,,,,-55180652134,,,,,,,,,,-122481000000,-67300000000,,,,,,,,,,,,,,-13060725331,,-82628670201,,-10192876929,,,,
3. Tài sản cố định vô hình227,2369813287,28,,,,,31204403787,7875433671,,,,218439840737,14223635825,9865567,139989202911,,158074074,,,8762468792,8469017362,9705575000000,437426734000,,6222220435,,,87324000,452147400,,,,29213029993,,4633530585,7704956793,653481467814,63467566139,,607703953,89041658665,6496138947,376000000,941065794,66385003
- Nguyên giá228,5563328144,3972983491,,,,652427974,41203252956,14004583139,260000000,,,344789377117,55101224125,111600000,188817455207,,158074074,85000000,,13268647658,50159097734,13952693000000,904682261000,,22827392247,,40000000,571548377,521575000,,,,37018708039,,10879443368,212851475282,934473120013,90297772827,,9449590064,106714831518,8687008519,875862000,11489491276,78100000
