Mã CK,GMC,GMD,GMH,GMX,GND,GPC,GSM,GSP,GTA,GTD,GTS,GVR,GVT,H11,HAD,HAF,HAG,HAH,HAI,HAM,HAN,HAP,HAR,HAS,HAT,HAX,HBC,HBD,HBH,HC1,HC3,HCB,HCC,HCD,HCI,HCT,HD2,HD6,HD8,HDA,HDC,HDG,HDM
7. Dự phòng phải thu dài hạn khó đòi219,,,,,,,,,,,,-397646143995,,,,,,,,-11886210000,,,,,,,,,,,,,,,,,,,,,,,
II. Tài sản cố định220,134130933660,4033163455484,24605430234,29887915423,44050938001,10775281920,623281678264,1059882033345,28474804631,51453698513,175228331059,35337155884690,214407666030,243275440,14927674630,46895991390,6567006867000,4774994459130,61388579821,339809980509,51195128313,383613238441,81550366215,2315094015,14086677658,459866368960,660064088261,,89833950836,1258890426,2273984386,127766204165,30913574505,195728840838,3929595871,8812898957,3261624651,74375396057,229357999,114915510076,302197823643,8548076888538,294738185304
1. Tài sản cố định hữu hình221,133699273312,3786073252479,24605430234,24238808901,44050938001,8227664156,623281678264,1059754255573,28474804631,51453698513,174859081055,35216722037923,208570073652,243275440,13755180779,46895991390,6319160472000,4566481074341,60471356729,230570620729,48425844219,377095309936,2724326215,2315094015,13617835669,449128022956,605292338147,,89833950836,1258890426,2272791886,125995877850,30574119228,168400872584,3790266240,8695976565,3261624651,74375396057,229357999,109300039650,301340536269,8355312161185,294291082396
- Nguyên giá222,415293329213,6271975962063,109466802901,138672600594,366331838699,10723000000,1085109124854,1793167089692,188523412611,178902169756,383639090529,58319330687217,1069436783848,2024274260,302550042195,130717969553,8209625199000,6273980024843,182284650932,485145959715,180591092547,823723084934,5125763576,10346553199,52283034072,637849733342,1632910727983,745228596,457083883913,48353992851,8559503878,503953452973,164920991545,218579839951,15906205545,34102836975,14859561701,102933160417,4512607273,219436513369,425374197128,11076404026439,1098863292898
- Giá trị hao mòn lũy kế 223,-281594055901,-2485902709584,-84861372667,-114433791693,-322280900698,-2495335844,-461827446590,-733412834119,-160048607980,-127448471243,-208780009474,-23102608649294,-860866710196,-1780998820,-288794861416,-83821978163,-1890464727000,-1707498950502,-121813294203,-254575338986,-132165248328,-446627774998,-2401437361,-8031459184,-38665198403,-188721710386,-1027618389836,-745228596,-367249933077,-47095102425,-6286711992,-377957575123,-134346872317,-50178967367,-12115939305,-25406860410,-11597937050,-28557764360,-4283249274,-110136473719,-124033660859,-2721091865254,-804572210502
2. Tài sản cố định thuê tài chính224,,9387685,,,,,,,,,,975132667,5837592378,,,,,204653888282,,,988013478,4621666666,,,,,4336650000,,,,,,,,,,,,,,,,
- Nguyên giá225,,235413682251,,,,,,,,,,3101449158,12908290910,,,,,490768166636,,,2036363636,4700000000,,,,,7542000000,,,,,,,,,,,,,,,,
- Giá trị hao mòn lũy kế 226,,-235404294566,,,,,,,,,,-2126316491,-7070698532,,,,,-286114278354,,,-1048350158,-78333334,,,,,-3205350000,,,,,,,,,,,,,,,,
3. Tài sản cố định vô hình227,431660348,247080815320,,5649106522,,2547617764,,127777772,,,369250004,119458714100,,,1172493851,,247846395000,3859496507,917223092,109239359780,1781270616,1896261839,78826040000,,468841989,10738346004,50435100114,,,,1192500,1770326315,339455277,27327968254,139329631,116922392,,,,5615470426,857287374,192764727353,447102908
- Nguyên giá228,6514768422,377654306291,,26199164502,104103860,2999808000,229326317,635570550,,,1248691819,217248371299,78000000,,1457244000,227000000,288535319000,16213287885,6229751551,131855076374,2340687283,8226094928,78826040000,242000000,1829648000,18643966169,80108731869,,,189000000,42930000,8080226026,945727273,27327968254,695387867,285410000,,,,6765326300,1933603392,223682254500,3500399579
- Giá trị hao mòn lũy kế 229,-6083108074,-130573490971,,-20550057980,-104103860,-452190236,-229326317,-507792778,,,-879441815,-97789657199,-78000000,,-284750149,-227000000,-40688924000,-12353791378,-5312528459,-22615716594,-559416667,-6329833089,,-242000000,-1360806011,-7905620165,-29673631755,,,-189000000,-41737500,-6309899711,-606271996,,-556058236,-168487608,,,,-1149855874,-1076316018,-30917527147,-3053296671
III. Bất động sản đầu tư230,,,,,3296116267,58598333360,,,,,,1286697181872,,,,,34296263000,,,8499054423,506631677317,,268454877942,12898848754,,541870962094,163928269415,1712943848,,63865059297,54319269140,,,,14757717552,,,8607932217,4785700036,,57787118858,728928759456,
- Nguyên giá231,,,,,12207837490,62300000000,,,,,,2340289970664,,,,,47003809000,,,15157601023,678289744627,,298551203185,23731717486,,541870962094,167838199332,7652279425,,120959149785,155757200265,,,,18393271774,,,8929221417,6286410170,,74517250592,983707874969,
- Giá trị hao mòn lũy kế232,,,,,-8911721223,-3701666640,,,,,,-1053592788792,,,,,-12707546000,,,-6658546600,-171658067310,,-30096325243,-10832868732,,,-3909929917,-5939335577,,-57094090488,-101437931125,,,,-3635554222,,,-321289200,-1500710134,,-16730131734,-254779115513,
IV. Tài sản dở dang dài hạn240,13380169682,1718132778160,389974546,68824698926,967192000,29895729610,1191104357,117600000,,,,9067120273522,1084783314,,,126923946363,5022320011000,20809927916,3184746899,983125827,4657301320,1391770202,,60000000,,1859329476,48161028276,,146341000,,,1115668636,351851852,1137716955,59042008756,,,112246213980,,,1364715173737,901620308403,1139366296
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,,,,,,,,,,,195804240940,,,,,,,,,,,,,,,,,,,,,,,59012618756,,,,,,1362023987883,91560035101,
