Mã CK,BTH,BTN,BTP,BTS,BTT,BTU,BTV,BTW,BVG,BVL,BVN,BWA,BWE,BWS,BXH,C21,C22,C32,C47,C4G,C69,C92,CAD,CAG,CAN,CAP,CAR,CAT,CBI,CC1,CC4,CCA,CCC,CCI,CCL,CCM,CCP,CCR,CCT,CCV,CDC,CDG,CDH,CDN,CDO
3. Đầu tư góp vốn vào đơn vị khác253,,,273500927800,,74597900000,,11214175540,,17899123595,,2189483647,,604864364280,26878370900,,227397500000,,22700887800,,247631233000,37500000000,,47500000,4320000000,,,,,,47493497822,6116100000,,,2450000000,,2178246800,,1170000000,,1770000000,,,,1915000000,35000000000
4. Dự phòng đầu tư tài chính dài hạn254,,,,,-31312708431,,-19995662449,,,-346275000,-2779541555,,,,,-18237989939,,-716723145,,-9500000000,,,-47500000,-1199291187,,,,,,,-5500000000,,,,,-7526141310,,,-222878130,,,,,-41555500,-944090462
5. Đầu tư nắm giữ đến ngày đáo hạn255,,,,,,,,,,,,,10000000000,,,,,16000000000,,,,,,,,,,5500000000,,6000000000,,20000000000,30000000000,,,62770000000,,,,500000000,,,,,
6. Đầu tư dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác260,369504266,375649534,64716443588,56262337931,21483312012,702693097,40508592544,226923384,12727276,29570270947,764618765,1624926923,425254476360,46275535842,683313234,30595093022,1344125978,60233611354,16516508033,1139252555629,4311700883,14794860938,,4109562562,3127583168,861935961,4931320177,2359635145,24123420689,59835173795,60606427249,2243939283,15392740879,15682369393,127457199,6191662588,214724564,1454647455,1062431046,70655499,1594646987,2317748263,,5176317943,50412968
1. Chi phí trả trước dài hạn261,369504266,375649534,4285163638,56262337931,21483312012,702693097,13687949037,226923384,12727276,615992101,746824690,1611142808,190652458292,46275535842,683313234,12319778051,1344125978,60233611354,16516508033,1128593002740,1010727488,14043497474,,4109562562,3127583168,861935961,4931320177,2359635145,24123420689,44463467880,5841062429,2243939283,15392740879,14892514808,127457199,6191662588,214724564,1453963091,1062431046,70655499,1074057488,2317748263,,4274192142,
2. Tài sản thuế thu nhập hoãn lại262,,,,,,,,,,631297802,17794075,13784115,,,,9032936527,,,,1107831265,234729452,751363464,,,,,,,,15371705915,2469443510,,,789854585,,,,684364,,,520589499,,,902125801,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",,,60431279950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Tài sản dài hạn khác268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52295921310,,,,,,,,,,,,,,
5. Lợi thế thương mại,,,,,,,26820643507,,,28322981044,,,234602018068,,,9242378444,,,,9551721624,3066243943,,,,,,,,,,,,,,,,,,,,,,,,50412968
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TỔNG CỘNG TÀI SẢN280,1323702552737,56896273877,1271614713384,3094239885454,505576590666,113013645054,481566965070,380695090023,55021140060,1788047198736,123212117731,52350699160,14199525343428,1261027607911,97673538350,989229207621,178027501180,788592439800,1873209895558,9409216243300,1191589278468,564925859233,11443660206,148118830897,286657993527,269963505951,63082966226,447395276292,1966262806983,16728010522148,1825302133218,805780472969,2083852095276,794816190704,1131608439939,761964521904,52831779861,314730641379,361075927896,280675853749,2006032571909,52690878801,81917697427,2460174705482,231921209818
NGUỒN VỐN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. NỢ PHẢI TRẢ300,382404309578,44160126534,208006341219,2027832528251,115980304755,49138562445,246739764679,119398565672,10602175322,498707485438,16567652195,17874673546,8686796923498,194017131091,43005117973,147567802772,107821660617,244960665413,1433395331251,5489080493688,341836847005,502285850333,1515860495538,4896817406,140708635667,30015199762,4637967402,273904266458,1689112303920,12163638052327,966588463741,550109393763,1495788291328,522248001372,409062303952,250902994088,4728780403,34223966082,93460658344,235800308992,1549513931564,8134781669,44512127188,629700704571,24063075091
