Mã CK,TVN,TVT,TW3,TXM,TYA,UCT,UDC,UDJ,UDL,UEM,UIC,UMC,UNI,UPC,UPH,USC,USD,UXC,V11,V12,V21,VAF,VAV,VBC,VBG,VBH,VC1,VC2,VC3,VC6,VC7,VC9,VCA,VCC,VCE,VCF,VCG,VCM,VCP,VCR,VCS,VCT,VCW
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Phải thu dài hạn khác216,44831735611,110000000,,,,,7738102649,,,,,1617024857,,,3761660200,100000000,1092102999,,,17256740230,32288000,,,,,,50000000,,21000000,20000000000,680230420000,,,5593844787,,1403259232877,9228103227,550000000,545199534400,971460289,836798010,,164838000
7. Dự phòng phải thu dài hạn khó đòi219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1180688411,
II. Tài sản cố định220,2437878337651,325601122388,13922051092,300252560,73003437763,4485667824,73212907085,5836052824,104154231037,13043934325,244452760223,9258073102,,30778747114,19885928823,9184723498,39970921538,84251347593,,14270042084,36908542715,8700131745,495521248959,69435961344,21094032942,1341877200,11400489854,49474378685,15560712004,39087473365,37755113656,3034506781,17144721483,22441051272,,216982059669,3478985061961,147211131,2789639444801,29127996518,790145802475,7810500956,3073218438908
1. Tài sản cố định hữu hình221,1610428645910,325252300388,13922051092,300252560,73003437763,4485667824,57625079370,5836052824,104154231037,12927160131,244452760223,4769331102,,14520346716,19885928823,8128338698,39970921538,57220751455,,8975490269,36908542715,7366891100,480682749022,69435961344,21094032942,1295168442,11400489854,49474378685,12853015728,39087473365,37755113656,2581321601,17144721483,14921096733,,216982059669,3363228416189,147211131,2600434285452,29127996518,787334951715,7810500956,3073218438908
- Nguyên giá222,12552242137625,1723375142564,46045122505,12273522213,522218218616,62940619027,184562950590,12503823899,336619759501,74646538738,497279443398,48628339972,,51289632949,109629094697,61067436275,113867699644,351027954689,,61186282511,64773347530,190292463216,1054354073558,299168357161,128165505806,19980477518,51688564669,114748555810,27523058970,67833218428,73101575818,75376312026,392819715852,178856271002,107241975420,1014860711980,5459759495605,17430652980,4634857925066,34937883820,2243751326387,15097669080,4910650076083
- Giá trị hao mòn lũy kế 223,-10941813491715,-1398122842176,-32123071413,-11973269653,-449214780853,-58454951203,-126937871220,-6667771075,-232465528464,-61719378607,-252826683175,-43859008870,,-36769286233,-89743165874,-52939097577,-73896778106,-293807203234,,-52210792242,-27864804815,-182925572116,-573671324536,-229732395817,-107071472864,-18685309076,-40288074815,-65274177125,-14670043242,-28745745063,-35346462162,-72794990425,-375674994369,-163935174269,-107241975420,-797878652311,-2096531079416,-17283441849,-2034423639614,-5809887302,-1456416374672,-7287168124,-1837431637175
2. Tài sản cố định thuê tài chính224,,,,,,,,,,,,,,,,,,,,,,1313401935,10880016256,,,,,,,,,,,6115954539,,,106704325778,,,,,,
