Mã CK,LGM,LHC,LHG,LIC,LIG,LIX,LKW,LLM,LM3,LM7,LM8,LMC,LMH,LMI,LNC,LO5,LPT,LQN,LSG,M10,MA1,MAC,MAS,MBG,MBN,MBT,MCC,MCF,MCG,MCH,MCM,MCO,MCP,MDA,MDC,MDF,MDG,MEC,MED,MEF,MEL,MES,MFS
- Nguyên giá222,73241531207,1002877881408,147912918486,1265155218612,288375994339,824004016667,72179098198,726607203734,19830183967,78542213849,514939870367,,,137912498263,293520557407,158374415607,80078936790,39784420619,1596605751,1733706886842,58762513250,74589543496,157428839062,98151204573,151246181281,55000000,21184018400,122722943426,387255173918,9870271014422,1153103657833,68958362252,362859508752,44135311612,2247033855524,1795531768223,52638618097,379693289099,154351408887,261511233848,157011843612,66357898289,268216910437
- Giá trị hao mòn lũy kế 223,-72123170092,-647573350379,-92583011868,-1059744972794,-144073958019,-446340992890,-34927432066,-625611638210,-19251042217,-76277728281,-445716783997,,,-100176645742,-103199685792,-116517307196,-58220634642,-29577216763,-1225090427,-1300691074284,-46579303060,-41403243074,-123259333998,-63725342861,-61135785967,,-20194160827,-99198245684,-151761268325,-5335136689078,-786520063390,-62010346394,-345812085425,-37324544600,-1765390719122,-1125286121441,-34228142219,-167248096034,-119929129527,-184559341522,-99700091557,-14792318046,-266821439360
2. Tài sản cố định thuê tài chính224,,,,5494154374,86541818952,,,2505252292,,,11368868051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá225,,,,7725170910,116633848847,,,3519650908,,,13532068958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn lũy kế 226,,,,-2231016536,-30092029895,,,-1014398616,,,-2163200907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Tài sản cố định vô hình227,,17003142584,2613572386,26046838919,1686899572,37840419827,197362903,16348421558,,5656177835,464582668,,,223385556,-298482385,,904416457,2132550000,,1065249777,,633632000,548866002,80710452,,,,61838882,,714027550023,,110000000,,,215126102,354281666,664100000,1620000000,19181240,103726194,4890187754,13435977000,
- Nguyên giá228,,23069091474,4141387270,30131669806,1881066240,54389873118,470000000,18500095231,41620000,5906177835,1438500000,,,656250000,293884535,,2304720000,2132550000,282383660,16291763483,,673632000,953083100,200340000,,,,837530502,,2408309496258,3988000000,110000000,,,1329805846,4296355380,1183618900,2175809000,307325000,735532674,6766332001,13435977000,1019000000
- Giá trị hao mòn lũy kế 229,,-6065948890,-1527814884,-4084830887,-194166668,-16549453291,-272637097,-2151673673,-41620000,-250000000,-973917332,,,-432864444,-592366920,,-1400303543,,-282383660,-15226513706,,-40000000,-404217098,-119629548,,,,-775691620,,-1694281946235,-3988000000,,,,-1114679744,-3942073714,-519518900,-555809000,-288143760,-631806480,-1876144247,,-1019000000
III. Bất động sản đầu tư230,,,550845143894,4020667916,86376056707,,,13120334922,,,,,,,,,,,,,184926164252,,,46761550716,,32243133310,,,91756249478,4165584037,,,,,,,,,1880655954,,,,
- Nguyên giá231,,,967263458101,4102505616,87633840203,,,57127963520,,,,,,,,,,,,,264401074850,,,49217297239,,41060000000,,,117774019565,18627973918,,,,,,,,,11361119544,,,,
