Mã CK,VPW,VQC,VRC,VRE,VRG,VSA,VSC,VSE,VSF,VSG,VSH,VSI,VSM,VSN,VST,VTA,VTB,VTC,VTD,VTE,VTG,VTH,VTI,VTJ,VTK,VTL,VTM,VTO,VTP,VTQ,VTR,VTS,VTV,VTX,VTZ,VVN,VVS,VW3,VWS,VXP,VXT,WCS,WSB,WTC,X20,X26,X77
7. Dự phòng phải thu dài hạn khó đòi219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1619387931
II. Tài sản cố định220,159713953171,36496171246,117280500,221394000000,89829313154,57578004279,3611422058657,9370495733,2444272520877,8996827860,7465429107471,145192036850,44445199543,338728138484,123188297446,40167416558,62700445235,14709856256,39630226184,8422334160,20450560412,68934569603,930440394,,36048980209,7157746056,208935374862,508310598663,744915553414,117445332533,18973208678,2911508199,13603204911,120745909888,162288216328,1761385797141,30718115770,735526204,34419215928,18506014432,20775728125,33067300809,278585043789,231795457842,171783151455,132329511830,3653873046
1. Tài sản cố định hữu hình221,159207851572,30008806144,,202635000000,89829313154,40356773297,1347446163423,9370495733,1686478185575,3380919806,7465429107471,126723208779,44202621418,129507261673,123084837596,40167416558,45824323333,13798057307,39630226184,8422334160,20450560412,64406610563,930440394,,29375863986,7157746056,208467721046,486802667890,691259376597,117445332533,5926255058,2911508199,13367963254,45233799439,68647524693,1749119229990,14769043282,735526204,33931854828,18100423807,13170248225,29456401929,278585043789,231795457842,160647097243,132329511830,3653873046
- Nguyên giá222,491677796045,175467472106,1409787946,479991000000,147579258109,160433199313,4195839269027,24306019868,6098456942448,22734456221,12300205002257,254952251927,129555837443,526832533120,1252201395273,236766856717,133339231980,57877525578,54865195544,97221993443,89713663836,144346015087,6235124550,157000000,48279495223,48853971517,565820828698,4271320940948,1295930086780,247197896092,202336778752,71899782450,42383612877,486091252705,186499383291,4605848276856,50382227091,16239370595,42324998208,152153732044,33714253129,99924951292,1021540424857,245828272237,505115770682,391883915794,153866363455
- Giá trị hao mòn lũy kế 223,-332469944473,-145458665962,-1409787946,-277356000000,-57749944955,-120076426016,-2848393105604,-14935524135,-4411978756873,-19353536415,-4834775894786,-128229043148,-85353216025,-397325271447,-1129116557677,-196599440159,-87514908647,-44079468271,-15234969360,-88799659283,-69263103424,-79939404524,-5304684156,-157000000,-18903631237,-41696225461,-357353107652,-3784518273058,-604670710183,-129752563559,-196410523694,-68988274251,-29015649623,-440857453266,-117851858598,-2856729046866,-35613183809,-15503844391,-8393143380,-134053308237,-20544004904,-70468549363,-742955381068,-14032814395,-344468673439,-259554403964,-150212490409
2. Tài sản cố định thuê tài chính224,,,,,,,4466623768,,,,,,,,,,,886546426,,,,4259209052,,,,,,,,,,,,74445133924,41074272355,2494598761,,,,,,,,,,,
- Nguyên giá225,,,,,,,5187601567,,,,,,,,,,,4332074473,,,,4483377950,,,,,,,,,,,,94544645726,65271584956,2907407406,,,,,,,,,,,
- Giá trị hao mòn lũy kế 226,,,,,,,-720977799,,,,,,,,,,,-3445528047,,,,-224168898,,,,,,,,,,,,-20099511802,-24197312601,-412808645,,,,,,,,,,,
3. Tài sản cố định vô hình227,506101599,6487365102,117280500,18759000000,,17221230982,2259509271466,,757794335302,5615908054,,18468828071,242578125,209220876811,103459850,,16876121902,25252523,,,,268749988,,,6673116223,,467653816,21507930773,53656176817,,13046953620,,235241657,1066976525,52566419280,9771968390,15949072488,,487361100,405590625,7605479900,3610898880,,,11136054212,,
- Nguyên giá228,2191645154,12581142818,1074026303,88456000000,30000000,22440639643,2320997600260,,812418901384,9566530785,,23567332000,328500000,303211468934,7580995096,,26804994698,433702497,,,581801000,430000000,,,8435502151,95000000,471711550,28250980211,91011224644,,41735314384,118000000,624835017,3766607975,55920849660,15694688443,21760700000,,2685797838,833605560,7842479900,7808554390,,170000000,12856806347,,367987883
- Giá trị hao mòn lũy kế 229,-1685543555,-6093777716,-956745803,-69697000000,-30000000,-5219408661,-61488328794,,-54624566082,-3950622731,,-5098503929,-85921875,-93990592123,-7477535246,,-9928872796,-408449974,,,-581801000,-161250012,,,-1762385928,-95000000,-4057734,-6743049438,-37355047827,,-28688360764,-118000000,-389593360,-2699631450,-3354430380,-5922720053,-5811627512,,-2198436738,-428014935,-237000000,-4197655510,,-170000000,-1720752135,,-367987883
III. Bất động sản đầu tư230,,,,27084397000000,87885170106,14586138347,,,19571578292,20168610226,,114857298908,,,,,,,,,,,,,,,,,,,,,200695622559,,,1000000000,,,,,19075335391,,2112904208,,,,
- Nguyên giá231,,,,38354003000000,102695821943,75678647555,,,49576252218,29019583102,,206497093439,,,,,,,,,,,,,,,,,,,,,259753835497,,,1000000000,,,,,26559609477,,4011843370,,,,
- Giá trị hao mòn lũy kế232,,,,-11269606000000,-14810651837,-61092509208,,,-30004673926,-8850972876,,-91639794531,,,,,,,,,,,,,,,,,,,,,-59058212938,,,,,,,,-7484274086,,-1898939162,,,,
IV. Tài sản dở dang dài hạn240,31852338536,3914355843,,801624000000,330272494504,358541667,396378000,,17222184505,,26991051398,21542491406,258250000,14875194878,,,9330512273,,,,,23415185993,,4958635200,12363950521,11347000,6257279203,,75029511026,25315470616,82309855537,,,9201808247,2868356777,8317676800,504022289,,,,1092592593,589958182,13657078670,2419055845,2489371153,,
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Chi phí xây dựng cơ bản dở dang242,31852338536,3914355843,,801624000000,330272494504,358541667,396378000,,17222184505,,26991051398,21542491406,258250000,14875194878,,,9330512273,,,,,23415185993,,4958635200,12363950521,11347000,6257279203,,75029511026,25315470616,82309855537,,,9201808247,2868356777,8317676800,504022289,,,,1092592593,589958182,13657078670,2419055845,2489371153,,
V. Đầu tư tài chính dài hạn250,19000000000,,482926832721,,25300000000,3649376723,759362263714,,143528695780,750000000,,2855616559,,,2000000000,2139397972,17568916319,,13523415268,,44094021321,,2200200000,62823079326,,330000000,,10741176461,30000000000,18998319496,4509540413,,,816000000,50000000000,102400816940,3600000000,,6394245555,,500000000,,51285558143,1260000000,3611812514,,
1. Đầu tư vào công ty con251,,,,,,,,,28771200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh252",19000000000,,482926832721,,,1955273059,759207263714,,87693367211,,,,,,,2880000000,17568916319,,13523415268,,,,412560000,21704946747,,,,,,81840000000,733420982,,,816000000,,74088219277,,,4175749605,,,,36804842743,,3611812514,,
3. Đầu tư góp vốn vào đơn vị khác253,,,,,25799950000,1694103664,155000000,,90606925910,750000000,,4487946475,,,2000000000,50000,,,,,62467614431,,2200200000,43800000000,,1200000000,,64500000000,,,181913259431,1300000000,,,,40045988675,,,2375000000,,,,13980715400,,,,
4. Dự phòng đầu tư tài chính dài hạn254,,,,,-499950000,,,,-63542797341,,,-1632329916,,,,-740652028,,,,,-18373593110,,-412560000,-2681867421,,-870000000,,-53758823539,,-63841680504,-178137140000,-1300000000,,,,-11733391012,,,-156504050,,,,,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000000000,1000000000,,,,,50000000000,,3600000000,,,,500000000,,500000000,1260000000,,,
6. Đầu tư dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
