Mã CK,NTC,NTF,NTH,NTL,NTP,NTT,NTW,NUE,NVL,NVP,NVT,NWT,NXT,OCH,ODE,OGC,OIL,ONE,ONW,OPC,PAC,PAI,PAN,PAP,PAS,PAT,PBC,PBP,PBT,PC1,PCC,PCE,PCF,PCH,PCM,PCT,PDB,PDC,PDN,PDR,PDV,PEG,PEN,PEQ
- Nguyên giá222,98322052997,50086017890,395769561432,66214300217,3186287977774,843477479940,280460117971,126452009583,2286171400171,409517102070,476913192539,311597902575,61942321944,829407529197,4596056990,830786741015,7068968725573,25614336121,,560760886060,1395325533792,18640785344,5148228960774,4051308565907,130559615091,565042407218,559317096007,131649757854,188986058727,12617358387910,596524763454,78573405125,8889942379,48532525760,86268144263,1705015090810,206177393744,214331663656,963397882335,410684197903,1630775235014,712051079887,89363309950,111910337306
- Giá trị hao mòn lũy kế 223,-72226176928,-47899796216,-231769393130,-18286612910,-1927912710792,-386252310135,-181565711019,-111725334889,-410476472031,-282099130678,-275577744180,-252869453997,-15843538742,-402228108232,-3690984542,-403607320050,-5010928742364,-14101519084,,-424613081181,-1041714830972,-8974841776,-2708460671341,-21015493375,-77478193686,-277893020995,-471834345645,-99286822779,-149238324821,-3646562471992,-431086533558,-72263957741,-7143968662,-26883790384,-73812665150,-250635889462,-172892872778,-121733316999,-610516084284,-67120743406,-242798604173,-487949987443,-73171378960,-42977035761
2. Tài sản cố định thuê tài chính224,,,,,,,,,,,,,,,,,6571060687,,,,31931408443,,3485055389,,,,,11212288816,,,28966596358,,,,,,,,,,,5308850635,,
- Nguyên giá225,,,,,,,,,,,,,,,,,8551263997,,,,47125644645,,3726851852,,410000004,,,11983425797,,,34860916825,,,,,,,,,,,7269109317,,
- Giá trị hao mòn lũy kế 226,,,,,,,,,,,,,,,,,-1980203310,,,,-15194236202,,-241796463,,-410000004,,,-771136981,,,-5894320467,,,,,,,,,,,-1960258682,,
3. Tài sản cố định vô hình227,,170533306,93993798,77133334,7105350000,1654101531,504963180,151370084,61987419814,,334564694776,,,55663049166,10769119486,55663049166,1464806359424,,,73944681530,8518974044,,1657893673158,29026242590,,,47928238037,,,1175879546923,,20654976375,13088875000,49724804626,70400000,,,,3362393251,400659905794,226976103,131166570744,,1883143000
- Nguyên giá228,436833600,587553000,93993798,420028000,16966399107,1909500000,1062156000,205000000,170305186522,667702000,472852487371,,,75202950065,16000000000,75516700065,1832391653985,,,85121172931,40995029434,,2314325853929,29189424304,,,57227979082,380000000,93106000,1383299121252,120000000,22256641250,13088875000,49724804626,186400000,,,442380500,9083414108,415506259881,518000000,147785929289,1025754049,3108277500
- Giá trị hao mòn lũy kế 229,-436833600,-417019694,,-342894666,-9861049107,-255398469,-557192820,-53629916,-108317766708,-667702000,-138287792595,,,-19539900899,-5230880514,-19853650899,-367585294561,,,-11176491401,-32476055390,,-656432180771,-163181714,,,-9299741045,-380000000,-93106000,-207419574329,-120000000,-1601664875,,,-116000000,,,-442380500,-5721020857,-14846354087,-291023897,-16619358545,-1025754049,-1225134500
III. Bất động sản đầu tư230,299508178409,,,,,,,,5737179048000,,,,,21178712553,,21178712553,98067904587,,,,,,417510181261,,31581783000,,,,,112102582263,,,,,,,,44055026207,,63247308032,,,,2221580936
- Nguyên giá231,705930936875,,,,,,,,6503656915369,,,,,36155810460,,36155810460,139193437163,,,,,,444097925821,,31581783000,,,,,536746846681,,,,,,,,57692617503,,75664270272,,,252156600,8292201416
- Giá trị hao mòn lũy kế232,-406422758466,,,,,,,,-766477867369,,,,,-14977097907,,-14977097907,-41125532576,,,,,,-26587744560,,,,,,,-424644264418,,,,,,,,-13637591296,,-12416962240,,,-252156600,-6070620480
IV. Tài sản dở dang dài hạn240,25394305081,47344399991,,10731253192,11118996692,10363652038,308234301,15000000,544001499525,1727756241,99864513095,,28011191138,181946261390,,214342763029,208531485428,,,24288128032,20570467953,,180896558532,2309266981491,11423647054,2583610047,2089555485887,,,372571762744,316828298821,,,,,64928238,393300000,,234223884994,533458452207,,65719886086,360569913,70000000
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",9731628350,,,10731253192,,,,,181998060395,,,,,,,,,,,,,,,,,,,,,202549187157,,,,,,,,,,,,,,
2. Chi phí xây dựng cơ bản dở dang242,15662676731,47344399991,,,11118996692,10363652038,308234301,15000000,362003439130,1727756241,99864513095,,28011191138,181946261390,,214342763029,208531485428,,,24288128032,20570467953,,180896558532,2309266981491,11423647054,2583610047,2089555485887,,,170022575587,316828298821,,,,,64928238,393300000,,234223884994,533458452207,,65719886086,360569913,70000000
V. Đầu tư tài chính dài hạn250,583359276149,,,,520028184664,1221725000,,,1709377159826,5500000000,6894139320,3000000000,,2085000000000,,2293114255643,707543604915,,,24995811105,32500000000,,226121735380,,100000000,,283853641,,,1709056198340,1125000000,,643837679,73990054548,,,,6440613850,70965000000,38034067565,,38176591332,,
1. Đầu tư vào công ty con251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh252",413605024000,,,,360002996064,,,,1411340774269,5500000000,,,,,,208114255643,640875493556,,,13310811105,32500000000,,,,,,283853641,,,1708234428340,,,,73990054548,,,,,15165000000,35224067565,,4001160089,400000000,
3. Đầu tư góp vốn vào đơn vị khác253,171878000000,,,26004980980,101360188600,1221725000,,,302340514598,,6894139320,,,2101423700000,,2101423700000,108911654132,,,11685000000,,,26121735380,,100000000,,,,,4821770000,2500000000,,3000280000,,,,,12172670000,55800000000,,,41466013443,,
4. Dự phòng đầu tư tài chính dài hạn254,-2123747851,,,-26004980980,-1335000000,,,,-4304129041,,,,,-16423700000,,-16423700000,-42243542773,,,,,,,,,,,,,-4000000000,-1375000000,,-2356442321,,,,,-5732056150,,,,-7290582200,-400000000,
5. Đầu tư nắm giữ đến ngày đáo hạn255,,,,,60000000000,,,,,,,3000000000,,,,,,,,,,,200000000000,,,,,,,,,,,,,,,,,2810000000,,,,
6. Đầu tư dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác260,4517761567107,1513623954,1929123867,1536199012,145361306131,23262368004,471970807,3013566004,4117663424757,6482796010,230634241961,,1137000,250792227046,1014160018,497059915454,1615853460909,213911561,,54571726992,249547486016,1036297260,623437188959,4164869195,21905993369,21434271266,7811297497,3326059032,4187542027,528428450216,2085786589,4422306107,,19230019383,,39038413330,5917242156,9798938019,44306433775,1085339789208,123554438816,370951086916,1489334219,66854435
1. Chi phí trả trước dài hạn261,4517761567107,1513623954,1929123867,1536199012,144555266991,23262368004,471970807,3013566004,1500140582061,6482796010,144109521783,,1137000,218416769457,1014160018,464684457865,1615832097273,213911561,,50012414975,210856810468,1036297260,501994548259,4164869195,1206410918,21434271266,7811297497,3326059032,4187542027,290930501865,2085786589,4422306107,,8420274298,,38516903366,5666500850,9798938019,44306433775,983622808366,121602115903,370951086916,1489334219,66854435
2. Tài sản thuế thu nhập hoãn lại262,,,,,806039140,,,,141684358122,,,,,241943120,,241943120,,,,4559312017,3585532416,,42887364640,,,,,,,30280921273,,,,51152765,,521509964,250741306,,,101716980842,1952322913,,,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",,,,,,,,,,,,,,,,,21363636,,,,35105143132,,,,,,,,,25969362920,,,,,,,,,,,,,,
4. Tài sản dài hạn khác268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Lợi thế thương mại,,,,,,,,,2475838484574,,86524720178,,,32133514469,,32133514469,,,,,,,78555276060,,20699582451,,,,,181247664158,,,,10758592320,,,,,,,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TỔNG CỘNG TÀI SẢN280,7356705577453,125115202286,203890988182,2178124954026,6414871527523,1234813575320,193919241893,123481589954,237777980657656,192163947703,1071502256963,153970312709,101432556003,3853256849417,151191525279,4508611101180,41734469508904,338491148281,7266411807,1221572137635,2534781271379,72767978720,23840652907125,7120908108917,884838579880,932617787977,3167616373235,152314023345,288529641675,20987644741128,1276222975581,324266463685,24503277188,283620919180,60234189088,1898739195276,206561955456,256076539406,1548725371222,23985551811184,2164690655218,1207158769040,272420775097,263250895737
NGUỒN VỐN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. NỢ PHẢI TRẢ300,6245937448962,36716246717,17306139176,420193851030,2748497317518,1047062952526,27588293989,51433298882,190486956299042,54345954856,541961352351,56940253410,13498877074,1938771943991,21392428162,2773612325843,30286081721273,236342532524,7140942832,344753751185,1565895833608,24049459237,14981202391083,4665103147773,451967729246,363897086209,1897891373284,83569463167,96086706642,13271625448232,1018781279648,129413300746,3219768368,21381711097,19903252199,1238388464637,73031157823,113616869025,309000498024,12927043152194,1165515017795,557368310944,214701471476,161953975527
