Mã CK,SLS,SMA,SMB,SMC,SMN,SMT,SNC,SNZ,SP2,SPB,SPC,SPD,SPH,SPM,SPV,SQC,SRA,SRB,SRC,SRF,SSC,SSG,SSH,SSM,ST8,STC,STG,STH,STK,STP,STS,STT,STW,SVC,SVD,SVG,SVH,SVI,SVN,SVT,SWC,SZB,SZC
II. Tài sản cố định220,549594966495,323920312169,286751888837,1206287530233,1478229273,41265362138,41363090519,4454199509626,493238594625,416809542179,27656888161,68878578433,2572731245,117562293466,101853512262,1496334613,6906462116,935696099,48295006758,236860508230,97722532425,11638773542,85751925636,21893947575,38796312068,28364735902,1105000074764,11395200826,560684345537,7203004231,21292459197,2219988705,96569093594,1142580668401,180845565758,257223070134,181606421184,136496035952,91131826,50490582,837437137183,402303590999,755645546018
1. Tài sản cố định hữu hình221,548407185315,323920312169,282740367337,829878313043,1478229273,36768490852,36921033485,4098097016472,493238594625,416693482785,21868394087,65934228394,2222731245,112745716387,84176303848,1496334613,5750427178,935696099,31792162129,231960960422,52280095439,1638773542,60513580165,19681234249,2039022844,28364735902,981511829319,10883580674,560684345537,7203004231,11148134700,2219988705,96569093594,946401220161,180845565758,217301487497,181606421184,136432402614,91131826,50490582,808911352324,371995894712,753975724305
- Nguyên giá222,1014232779435,598443195347,1580406629402,1648080617261,7643999801,69386617197,151154694054,9711536082716,1159781964907,922535592120,152581341574,272479543429,59829947784,324824169127,247525393171,9287593504,10046903390,19339336872,682879204189,369320129237,194789881445,2190873689,135880339811,97798020522,2299890000,74820116749,2274344251132,21282058400,2103161115998,53601703130,94957608864,13427217862,542822982294,1683166389766,289860157686,653798253627,450478451778,699786696796,182263636,4890412298,1381321134233,992238143646,925313687679
- Giá trị hao mòn lũy kế 223,-465825594120,-274522883178,-1297666262065,-818202304218,-6165770528,-32618126345,-114233660569,-5613439066244,-666543370282,-505842109335,-130712947487,-206545315035,-57607216539,-212078452740,-163349089323,-7791258891,-4296476212,-18403640773,-651087042060,-137359168815,-142509786006,-552100147,-75366759646,-78116786273,-260867156,-46455380847,-1292832421813,-10398477726,-1542476770461,-46398698899,-83809474164,-11207229157,-446253888700,-736765169605,-109014591928,-436496766130,-268872030594,-563354294182,-91131810,-4839921716,-572409781909,-620242248934,-171337963374
2. Tài sản cố định thuê tài chính224,,,,272626440993,,1011816598,,,,,1181417642,,,,,,,,13104992707,893316664,,,,,,,74445133924,,,,,,,12534792965,,19511405520,,,,,,,
- Nguyên giá225,,,,339831675532,,3984944715,,,,,2974198190,,,,,,,,20124700342,1030750000,,,,,,,94544645726,,,,,,,14351114987,,26054578954,,,,,,,
- Giá trị hao mòn lũy kế 226,,,,-67205234539,,-2973128117,,,,,-1792780548,,,,,,,,-7019707635,-137433336,,,,,,,-20099511802,,,,,,,-1816322022,,-6543173434,,,,,,,
3. Tài sản cố định vô hình227,1187781180,,4011521500,103782776197,,3485054688,4442057034,356102493154,,116059394,4607076432,2944350039,350000000,4816577079,17677208414,,1156034938,,3397851922,4006231144,45442436986,10000000000,25238345471,2212713326,36757289224,,49043111521,511620152,,,10144324497,,,183644655275,,20410177117,,63633338,,,28525784859,30307696287,1669821713
- Nguyên giá228,2018991660,,5705069474,112535841108,,6257688564,6598139534,516853838162,,549040000,9261423802,5391374111,694370036,9125837378,26506568000,73876000,1540000000,6722000003,3615723022,8600707417,56965334468,10000000000,33445160000,2425372798,37716126888,696540000,97269951300,832250000,14385298205,,12771593295,200000000,,212849911814,202768000,32472305406,,3048022613,,,32803991832,94561110266,2351358424
- Giá trị hao mòn lũy kế 229,-831210480,,-1693547974,-8753064911,,-2772633876,-2156082500,-160751345008,,-432980606,-4654347370,-2447024072,-344370036,-4309260299,-8829359586,-73876000,-383965062,-6722000003,-217871100,-4594476273,-11522897482,,-8206814529,-212659472,-958837664,-696540000,-48226839779,-320629848,-14385298205,,-2627268798,-200000000,,-29205256539,-202768000,-12062128289,,-2984389275,,,-4278206973,-64253413979,-681536711
III. Bất động sản đầu tư230,,,6119570946,6477667757,,,,3034570156068,,,173625530,,,,,,,,,43101549313,,,712802660784,,,,,,,,,,,726261996196,,,,,,11151135750,,108255209335,1119971702173
- Nguyên giá231,,,9795838071,9080842650,,,,4798629336929,,,1922357945,,,,,,,,,49034713483,,,1287224354583,,,,,,,,,,,1067361388909,,,,,,22865196201,,159316812513,1961474792081
- Giá trị hao mòn lũy kế232,,,-3676267125,-2603174893,,,,-1764059180861,,,-1748732415,,,,,,,,,-5933164170,,,-574421693799,,,,,,,,,,,-341099392713,,,,,,-11714060451,,-51061603178,-841503089908
IV. Tài sản dở dang dài hạn240,7473849307,,11045168644,609942693,28363636,46296296,,4634768192882,,1852827335,4873604417,,,20793677278,,,20192026448,265721156,2065608864,36983199339,2921000000,,285473519212,,1641439255,1799008000,149289926305,3632317123,2111112394294,,,8544500040,1675756442,407977312004,1149380461,866995619,240550689439,43510383665,,941383878,41706093437,15458627104,3148111740852
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,,,,,,,,,,,,,,,,,,,,,,,,,,,3429258923,,,,,,,,,,,,,,,
2. Chi phí xây dựng cơ bản dở dang242,7473849307,,11045168644,609942693,28363636,46296296,,4634768192882,,1852827335,4873604417,,,20793677278,,,20192026448,265721156,2065608864,36983199339,2921000000,,285473519212,,1641439255,1799008000,149289926305,203058200,2111112394294,,,8544500040,1675756442,407977312004,1149380461,866995619,240550689439,43510383665,,941383878,41706093437,15458627104,3148111740852
