Mã CK,HDP,HDS,HDW,HEC,HEJ,HEP,HES,HEV,HFB,HFC,HFX,HGM,HGT,HHC,HHG,HHN,HHP,HHS,HHV,HID,HIG,HII,HIO,HJC,HJS,HKB,HKT,HLB,HLC,HLD,HLO,HLS,HLY,HMC,HMD,HMG,HMH,HMR,HMS,HNA,HNB,HND,HNF,HNG,HNI,HNM,HNP,HNR
II. Tài sản cố định220,114048430391,39303205699,794741845684,301338005325,46341674321,192301929275,56385616938,453593402,25995635507,33234191438,528366528,17808565434,38963009887,137972343419,149978414258,4267017152,220661816155,28790997933,27803114813212,800718595250,7387647627,238418087266,338421065888,48530304787,199447081843,82940204190,3844657363,124605697655,794877759482,28373422661,31135359267,17406358270,22046997488,24708596886,6400859159,9218240064,88252025138,6709636914,73118483062,3324886412427,44545357289,3192403751598,683273490405,5348929120000,94334203211,176777673850,58449421941,69124890836
1. Tài sản cố định hữu hình221,88909426429,28889005216,794655512351,290491946214,46341674321,192301929275,56385616938,453593402,25818135517,25815112508,527394569,13931432850,37964009887,137532375689,149954001369,4267017152,137070551640,25270997933,27785952501334,800718595250,1655839829,225618764340,338421065888,47651643180,199447081843,75099340555,3844657363,121678480375,793449851593,28373422661,30744562681,17406358270,22046997488,15443411293,6400859159,8756719064,68780364305,6709636914,73118483062,3324886412427,43536659385,3188132689849,637336393207,5340338759000,85545807068,176119941267,58449421941,56121690836
- Nguyên giá222,243440991156,49463694105,2068148426795,436070061477,82705689441,464499224746,228576894112,1209582400,91871316437,73591881931,17020958794,83430659608,109870924242,415675408395,364043034271,36261660094,251903295266,32436791373,30147532890468,1083742966824,7863862349,556750669270,493147313989,294165057708,724140489810,112963333749,20769296151,636306582367,5897652015811,73807860870,49823579436,124444953470,73410658860,79572331325,117875415175,64516997383,173887467326,34346071436,189393662088,6540789975953,191019878664,22199191015033,1076168929888,8543450023000,360765201041,363790552016,308962037760,738570522117
- Giá trị hao mòn lũy kế 223,-154531564727,-20574688889,-1273492914444,-145578115263,-36364015120,-272197295471,-172191277174,-755988998,-66053180920,-47776769423,-16493564225,-69499226758,-71906914355,-278143032706,-214089032902,-31994642942,-114832743626,-7165793440,-2361580389134,-283024371574,-6208022520,-331131904930,-154726248101,-246513414528,-524693407967,-37863993194,-16924638788,-514628101992,-5104202164218,-45434438209,-19079016755,-107038595200,-51363661372,-64128920032,-111474556016,-55760278319,-105107103021,-27636434522,-116275179026,-3215903563526,-147483219279,-19011058325184,-438832536681,-3203111264000,-275219393973,-187670610749,-250512615819,-682448831281
2. Tài sản cố định thuê tài chính224,,,,,,,,,,1494992930,,,,,,,82386699640,,14075260603,,,,,,,,,,,,,,,,,,,,,,,,42724391174,,,,,
- Nguyên giá225,,,,,,,,,,2832618182,,,,,,,83382506631,,17714776374,,,,,,,,,,,,,,,,,,,,,,,,58858210990,,,,,
- Giá trị hao mòn lũy kế 226,,,,,,,,,,-1337625252,,,,,,,-995806991,,-3639515771,,,,,,,,,,,,,,,,,,,,,,,,-16133819816,,,,,
3. Tài sản cố định vô hình227,25139003962,10414200483,86333333,10846059111,,,,,177499990,5924086000,971959,3877132584,999000000,439967730,24412889,,1204564875,3520000000,3087051275,,5731807798,12799322926,,878661607,,7840863635,,2927217280,1427907889,,390796586,,,9265185593,,461521000,19471660833,,,,1008697904,4271061749,3212706024,8590361000,8788396143,657732583,,13003200000
- Nguyên giá228,26625078780,12970460519,855700000,12002305738,326820000,68122727,18324833000,,528100000,10637756591,943668798,46168552193,1308338000,1242819280,163000000,569841218,1204564875,3520000000,5169474563,,6600000000,18326894836,,4406531424,,7840863635,,5976480000,9496805066,200000000,686050000,85090910,75980000,12339454427,,729211000,24058532693,,,,4621407432,15881889562,5663277273,12095251000,11368644950,2326374852,1592375424,13605079600
- Giá trị hao mòn lũy kế 229,-1486074818,-2556260036,-769366667,-1156246627,-326820000,-68122727,-18324833000,,-350600010,-4713670591,-942696839,-42291419609,-309338000,-802851550,-138587111,-569841218,,,-2082423288,,-868192202,-5527571910,,-3527869817,,,,-3049262720,-8068897177,-200000000,-295253414,-85090910,-75980000,-3074268834,,-267690000,-4586871860,,,,-3612709528,-11610827813,-2450571249,-3504890000,-2580248807,-1668642269,-1592375424,-601879600
III. Bất động sản đầu tư230,,,,,,,,,,13706661723,,,,,14486154613,5881302447,,453530623222,,,15680620000,,26148857519,,,,,,,58402278617,,,,65085530136,,,23355737400,,,,,,,,,,,
- Nguyên giá231,,,,,,,,,,19589702898,,,,,19144697736,8668659843,,517947724081,,,15680620000,,35093712424,,,,,,,96055631848,,,,145463787768,,,23603635918,,84214110999,,,,,,,,,
- Giá trị hao mòn lũy kế232,,,,,,,,,,-5883041175,,,,,-4658543123,-2787357396,,-64417100859,,,,,-8944854905,,,,,,,-37653353231,,,,-80378257632,,,-247898518,,-84214110999,,,,,,,,,
IV. Tài sản dở dang dài hạn240,34604300250,486457000,11616986977,131868300,,472320000,200420065,,,8855317190,4971037300,11932719736,,,5930359205,,1408217497835,12452666679,11075924963,108311447935,,,,567698391,6593597946,5359188727,,17691537197,60670087559,4896137365,,,,6382906,85570372338,,3485561150,,104634228370,56556578932,331078302,44583783469,9358786283,6330558156000,40917859217,15400702742,,
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,,,,,,,,,,,,,,,,,,,,,,,,,897466000,,,,,,,,,,,,,,,,,,,,,,
2. Chi phí xây dựng cơ bản dở dang242,34604300250,486457000,11616986977,131868300,,472320000,200420065,,,8855317190,4971037300,11932719736,,,5930359205,,1408217497835,12452666679,11075924963,108311447935,,,,567698391,6593597946,4461722727,,17691537197,60670087559,4896137365,,,,6382906,85570372338,,3485561150,,104634228370,56556578932,331078302,44583783469,9358786283,6330558156000,40917859217,15400702742,,
V. Đầu tư tài chính dài hạn250,,,,1700000000,5571721688,,,,,,,46864262320,84507709057,,1400301189,,39748090219,3420528071464,1088617731665,537961498548,213645720514,234109268301,19894526437,,,28000000000,19300000000,,,,14904120098,13000000000,,15938199774,,,17984255882,,,,,500000000,,337952313000,,27000000000,,
1. Đầu tư vào công ty con251,,,,,,,,,,,,,,,,,,,,,70428000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh252",,,,,3975998019,,,,,,,,112184038279,,,,39448090219,3420528071464,944117731665,212580767548,132105026880,232849268301,19894526437,,,,,,,,18659400000,,,,1230000000,,,,,,,,,337952313000,,,,
3. Đầu tư góp vốn vào đơn vị khác253,,,,,1595723669,,,,,,,69469880000,,,,,300000000,,127500000000,32400731000,11112693634,1260000000,,,,28000000000,19300000000,,,,,,,37000000000,,,20000000000,,,,,500000000,,2594610000,,27000000000,,
4. Dự phòng đầu tư tài chính dài hạn254,,,,,,,,,,,,-28605617680,-27676329222,,,,,,,,,,,,,,,,,,-3755279902,,,-21061800226,-1230000000,,-2015744118,,,,,,,-2594610000,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn255,,,,1700000000,,,,,,,,6000000000,,,1400301189,,,,17000000000,293000000000,,,,,,,,,,,,13000000000,,,,,,,,,,,,,,,,
6. Đầu tư dài hạn khác,,,,,,,,,,,,,,,,,,,,-20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác260,9760342541,2776643389,35332544611,3130321724,1278305549,4899855972,7303991189,60067760,1567743139,10078040454,77763380,681214170,5672258308,43174189179,254302007,1501050184,45623975987,6266029857,7780436269664,16700046174,424411587,18804442825,6931228273,2386187904,2087577658,96023238188,449704857,19396791831,126401933330,510500523,13460969869,20319737398,5250000,,,4467899123,3369649882,196371769,58266934880,4703356843,,202012741988,174254144777,168992686000,3444570227,3061634592,1254885543,27673862077
1. Chi phí trả trước dài hạn261,9760342541,2776643389,35332544611,3130321724,1278305549,4888556992,7303991189,60067760,1567743139,10078040454,77763380,681214170,5672258308,43174189179,254302007,1501050184,45326071721,6266029857,7761717810195,4154752387,424411587,18403252653,2359207205,2386187904,2087577658,9464693900,449704857,19396791831,115684751584,510500523,13460969869,20319737398,5250000,,,4467899123,3097801876,196371769,6652396496,,,134322990127,174254144777,72082672000,3444570227,3061634592,1254885543,27673862077
2. Tài sản thuế thu nhập hoãn lại262,,,,,,11298980,,,,,,,,,,,297904266,,7057060974,1085903159,,401190172,2371647573,,,,,,10717181746,,,,,,,,271848006,,561477476,,,,,96910014000,,,,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4703356843,,67689751861,,,,,,
4. Tài sản dài hạn khác268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Lợi thế thương mại,,,,,,,,,,,,,,,,,,,11661398495,11459390628,,,2200373495,,,86558544288,,,,,,,,,,,,,51053060908,,,,,,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TỔNG CỘNG TÀI SẢN280,305357536924,54428665104,910427226623,605554513313,220215871046,273482145264,136194239773,20237228900,486930862089,264151173236,21751225519,424860965988,256122783366,942348593039,175815285115,29936994091,2874881558167,5476784639289,38906360732239,1748052259450,817027740194,1927949143940,505482507817,315688082177,363899634846,268746682509,90024191716,862646111069,1618980598300,2023312562512,174924976342,175220257968,25464701131,1359529590831,146263346302,389224459369,248055199223,91319113504,1671162496721,4010196698675,138025466456,6980222385224,2065127149377,16695493770000,758725727595,605415677533,187767854807,370382941880
NGUỒN VỐN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
