Mã CK,PVO,PVP,PVR,PVS,PVT,PVV,PVX,PVY,PWA,PWS,PXA,PXI,PXL,PXM,PXS,PXT,QBS,QCC,QCG,QHD,QHW,QNC,QNP,QNS,QNT,QNU,QNW,QPH,QSP,QST,QTC,QTP,RAL,RAT,RBC,RCC,RCL,REE,RIC,RTB,RYG,S12,S4A,S55,S72,S74
1. Chi phí trả trước ngắn hạn151,780001510,3865727219,,49689840111,86929265466,,3443165122,35467008686,,311534785,4217689260,,,2630303,2330684037,36791799,76091,73898334,7522354864,,373277299,1107707792,12232396406,23875900105,5000000,794795528,340503468,12021780,,189407600,,1997067686,4279417252,917314864,,1852148224,,14228949938,730258920,957367981,6582012374,,876410660,71640819,,
2. Thuế GTGT còn được khấu trừ152,119778248,,7499136780,449424331983,409030792416,4186120,110091427591,60686596728,1760652037,637357513,,2373884493,12648872961,169884463,,1397673282,20420805,,17674625671,,24813689,3214162561,4957842054,15180430505,,,140930100,,,,1349179,123594849376,125208477327,12149016627,2358696285,25209329638,1534410295,155706486002,,77472242670,36286277854,4123971786,,1347247784,,218833155
3. Thuế và các khoản khác phải thu của nhà nước153,,,,1381881029,19495773,,34637079800,1001187127,,26985910,,,,18834240,9666821776,199584417,,,4820962,,,,,38219082,27510410,,22293648,,827521,,6277639,23696190787,3208832061,61316329,905412601,1610099255,285557381,13359606481,,1452934759,,,,7390347052,,106614200
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác155,,,,,,,,,,,603735133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN200,33729733322,1864961782825,252746359902,10194501123763,13210151631075,273996918064,1514887611157,418278803344,54366524165,367273741655,90680857184,14870098709,396605224227,933212778,503236906367,32697643512,8621623333,1142379912,6830838767039,31714810342,32292155521,929750266417,680261007269,3797494687605,34086000000,18329655573,111457035397,125618069212,129451555952,73441329166,13819651024,2872941878656,466763323933,224982168425,49585275971,302700820579,166433740115,25076564658982,870311798679,2221178495782,945184229393,85532818538,767511781377,1793042795927,206596364067,188077313179
I. Các khoản phải thu dài hạn210,50000000,10810504525,,97115488107,177413046717,193714729102,28744401590,,,1650000000,9195399898,12897200000,127218942920,5348008,936010924,,,,74336786560,,812717000,8091209551,7348273000,434783710,,2853190059,114638560,75133667,,152220072,2055901699,,1392138914,8795350000,107858493,2381574681,27162592313,36440426781,,,6246856657,79174207496,,144285178350,,1480000000
1. Phải thu dài hạn của khách hàng211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Trả trước cho người bán dài hạn212,,,,,,,9262236011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,,,,,,,,,,9195399898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
