STT,Mã CK▲,Tên công ty,Ngành,Sàn,Khối lượng NY/ĐKGD
1958,DT4,CTCP Quản Lý Đường Sông Số 4,Phân phối và bán lẻ hàng lâu bền,OTC,1160000
1959,DTAC,Công ty TNHH Quản lý Đầu tư Thiên An,,Khác,0
1960,DTAFC,CTCP Đầu tư AFC,,Khác,0
1961,DTCC,CTCP Kinh doanh Đá quý và Trang sức Đức Tiến,,Khác,0
1962,DTF,CTCP Thực phẩm và Nước giải khát Dona New Tower,,OTC,10723266
1963,DTJC,CTCP Địa ốc Downtown,,Khác,0
1964,DTN,CTCP Diêm Thống Nhất,Đồ gia dụng và cá nhân,OTC,2200000
1965,DTRC,CTCP Đầu tư Phát triển Bất động sản Đô Thành,,Khác,0
1966,DTS,CTCP Dịch vụ Du lịch Đà Lạt,,OTC,10450000
1967,DTSX,CTCP Quan hệ Quốc tế - Đầu tư Sản xuất,,Khác,0
1968,DTV,CTCP Phát triển Điện Trà Vinh,Dịch vụ tiện ích,OTC,5280000
1969,DucKhai,Công ty TNHH Thương mại Thiết bị Điện Đức Khải,,Khác,0
1970,DucTanLong,CTCP Đúc Tân Long - Constrexim,,OTC,0
1971,DuLichDaNang,CTCP Du lịch Đà Nẵng,,OTC,0
1972,DULICHKHANHHOA,CTCP Du lịch Khánh Hòa,,OTC,0
1973,DuLichTaCu,CTCP Du lịch Núi Tà Cú,,OTC,0
1974,DuLichThanhBinh,CTCP Du lịch Thanh Bình,,OTC,0
1975,DuLichThanhHoa,CTCP Du lịch Thanh Hóa,,OTC,0
1976,DuLichThuongMai,CTCP Du lịch và Thương mại Vinacomin,,OTC,0
1977,DuocBaoChau,CTCP Tập đoàn Dược Bảo Châu,,OTC,0
1978,DuocDomedic,CTCP Y Dược Domedic,,OTC,0
1979,DuocICA,CTCP Công nghệ sinh học Dược phẩm ICA,,OTC,0
1980,DuocLieuTW2,CTCP Dược Liệu Trung ương 2,,OTC,2800000
1981,DuocNamHa,CTCP Dược phẩm Nam Hà,,OTC,0
1982,DuocPham32,CTCP Dược phẩm 3/2,,OTC,0
1983,DuocTanPhat,CTCP Dược - Trang Thiết bị Y Tế Tân Phát,,OTC,3600000
1984,DuocYenBai,CTCP Dược phẩm Yên Bái,,OTC,0
1985,DuongBo234,CTCP Quản Lý và Xây dựng Đường bộ 234,,OTC,0
1986,DuongBoDakLak,Công ty TNHH MTV Quản Lý và Sửa Chữa Đường bộ Đắk Lắk,,Khác,0
1987,DuongCanTho,CTCP Mía đường Cần Thơ,,OTC,13080547
1988,DuongLaNga,CTCP Mía đường La Ngà,,OTC,0
1989,DuongSatPhiaNam,CTCP Đường sắt Phía Nam,,OTC,0
1990,DuongSocTrang,CTCP Mía đường Sóc Trăng,,OTC,0
1991,DuyHoang07,CTCP Duy Hoàng 07,,OTC,0
1992,DVCC,CTCP Thương mại và Dịch vụ Danh Việt,,Khác,0
1993,DVCCBinhDuong,CTCP Xây dựng và Dịch vụ Công Cộng Bình Dương,,OTC,0
1994,DVD,CTCP Dược phẩm Viễn Đông,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",Khác,11910000
1995,DVH,CTCP Chế tạo Máy điện Việt Nam - Hungari,Dịch vụ chuyên biệt và thương mại,Khác,11000000
1996,DVLC,CTCP Bất động sản Dragon Village,,Khác,0
1997,DVPC,CTCP Tập đoàn Vàng bạc Đá quý DOJI,,Khác,0
1998,DVRC,Công ty TNHH Đầu tư và Bất động sản Diên Vĩ,,Khác,0
1999,DVTC,Công ty TNHH Đức Việt,,Khác,0
2000,DVVTKHANHHOA,CTCP Khai thác Bến xe và Dịch vụ Vận tải Khánh Hòa,,OTC,0
2001,DX2,CTCP Đầu tư và Xây dựng 319.2,Tư liệu sản xuất,OTC,4950000
2002,DXD,CTCP Đầu tư và Phát triển Xây lắp Đông Anh,Tư liệu sản xuất,OTC,1019700
2003,DXMC,CTCP Dịch vụ và Địa ốc Đất Xanh Miền Bắc,,Khác,0
